HUC Name,HUC Code,Installed BMPs,Active BMPs,Installed Acres,Active Acres,Sediment Reduction (tons),Phosphorus Reduction (lbs.),Nitrogen Reduction (lbs.),Most Frequent BMP,x,y
Bottern Ditch-Maumee River,041000050105,46,46,927.36446281,927.36446281,1303.23849391,1724.8306668,3443.69996757,Cover Crop,,
Marsh Ditch-Maumee River,041000050106,17,17,705.5,705.5,791.326891066,1070.40552788,2139.81613578,Cover Crop,,
Zuber Cutoff,041000050201,1,1,38.4,38.4,41.900504681,57.1158972122,114.12264737,Cover Crop,,
North Chaney Ditch-Maumee River,041000050202,3,3,77,77,92.9090158274,128.070908316,255.883978981,Cover Crop,,
Marie DeLarme Creek,041000050203,55,59,1339.64504132,1341.24504132,2392.49605725,2897.88985809,5793.50729897,Cover Crop,,
Gordon Creek,041000050204,0,0,0,0,0,0,0,N/a,,
Upper Blue Creek,041000071002,0,0,0,0,0,0,0,N/a,,
Headwaters Flatrock Creek,041000071201,9,16,137.3,152.6,157.529408956,224.985830929,449.486069511,Cover Crop,,
Headwaters Hoffman Creek,041000071202,19,21,351.5,354,403.175352766,548.92350198,1096.85133784,Cover Crop,,
Bohnke Ditch-Hoffman Creek,041000071203,21,21,125.7,125.7,197.418565881,257.865744922,516.411566693,Conservation Cover,,
Brown Ditch-Flatrock Creek,041000071204,17,17,390.5,390.5,554.037678228,715.747910267,1432.38991606,Cover Crop,,
Wildcat Creek-Flatrock Creek,041000071205,3,3,311.6,311.6,286.241009178,403.690558092,805.51303459,Cover Crop,,
Dismal Creek,050800011001,3,5,1.2,2.6,117.322160121,118.170774545,236.335693254,Early Successional Habitat Development/Management,,
Kraut Creek,050800011002,0,0,0,0,0,0,0,N/a,,
Headwaters Greenville Creek,050800011004,0,2,0,3.8,8.81710289658,11.4709491012,22.9229432464,N/a,,
Jordan Creek-Martindale Creek,050800030102,9,28,168.935996327,225.732208448,1316.87155841,1401.70588006,2802.75872998,Cover Crop,,
Little Creek-Whitewater River,050800030104,17,51,226.664990817,255.87805326,1497.6485509,1559.92501054,3119.50427238,Fence,,
Little Mud Creek-Mud Creek,050800030201,0,7,0,7.2080348944,707,773,1547,N/a,,
Copy Run-Greens Fork,050800030202,1,31,27,61.5676997245,1901.30173245,1859.81555713,3727.66946817,Prescribed Grazing,,
Stoney Creek-Wabash River,051201010102,7,13,154.4,166.8,359.869383881,502.839508618,1005.85500037,Cover Crop,,
Toti Creek-Wabash River,051201010103,0,0,0,0,0,0,0,N/a,,
Wilson Creek-Limberlost Creek,051201010401,2,4,109.4,111.5,184.424515862,269.00032686,538.516732034,Cover Crop,,
Shirk Votaw Ditch-Camp Run,051201010402,0,0,0,0,0,0,0,N/a,,
Bear Creek,051201010403,5,11,150.3,157.859729109,796.194682673,1014.45294721,2027.30741573,Cover Crop,,
Oakley Ditch-Limberlost Creek,051201010404,1,4,49.6,55.9,132.51334077,198.121458239,397.027135514,Cover Crop,,
Votaw Ditch-Loblolly Creek,051201010405,1,12,61.4,179.9,204.271362938,310.758562321,618.160112053,Cover Crop,,
Hickory Branch-Wabash River,051201010501,0,0,0,0,0,0,0,N/a,,
Brewster Ditch-Wabash River,051201010502,4,26,145.8,278.7,315.66004313,467.733685777,935.80688253,Cover Crop,,
Jamstutz Ditch-Wabash River,051201010601,22,32,157.518663912,289.218663912,281.142200112,411.801901934,819.148955349,Conservation Cover,,
Threemile Creek-Wabash River,051201010602,1,3,21.3,23,214,308,614,CREP CP 21 Filter Strips,,
Kunkel Lake-Sixmile Creek,051201010603,6,9,347.6,350.1,385.919808337,543.093376167,1085.03858359,Cover Crop,,
Miller Ditch-Sixmile Creek,051201010604,18,36,375.15,721.45,711.541730435,1016.37499441,2028.18993696,Cover Crop,,
Headwaters Rock Creek,051201010701,0,13,0,5.1,90.0980748547,106.806225815,195.607242626,N/a,,
Mossburg Ditch,051201010702,2,2,2.2,2.2,36.0875243072,53.4333735474,105.864248524,CREP CP 21 Filter Strips,,
Stites Ditch-Rock Creek,051201010703,1,7,35.5,80.4160697888,243.332571815,302.290662311,606.286198574,Prescribed Grazing,,
Elkenberry Ditch-Rock Creek,051201010704,3,7,111.17,130.47,264.354633009,421.754711192,841.149760037,CREP CP 2 Establishment of Permanent Native Grass,,
Johns Creek-Wabash River,051201010801,1,17,56.5,185.9,350.529872611,456.847085599,902.794318731,Cover Crop,,
Dowty Ditch-Wabash River,051201010802,2,10,9.9,40.1,180.094930511,204.460422875,409.75952395,Cover Crop,,
Bender Ditch-Wabash River,051201010803,0,5,0,73.1,111.08754698,155.819609651,311.288382966,N/a,,
Griffin Ditch-Wabash River,051201010804,1,1,4.39,4.39,16,27,53,CREP CP 21 Filter Strips,,
Maple Creek-Eightmile Creek,051201010901,0,2,0,3.3,7,10,20,N/a,,
Moser Lake-Eightmile Creek,051201010902,2,6,97.9,101,116.658795216,161.979052224,323.625538267,Cover Crop,,
Big Creek-Eightmile Creek,051201010903,5,7,140.9,142.2,365.146230945,427.889399931,855.321507701,Cover Crop,,
Pleasant Run Ditch-Eightmile Creek,051201010904,3,5,160.3,163.840174472,733.845775391,881.052784132,1761.65660053,Cover Crop,,
Seeger Ditch,051201011001,14,17,190,208.4,269.411163063,365.250075927,729.807818647,Cover Crop,,
Beal Taylor Ditch-Aboite Creek,051201011002,1,8,7.7,16.6160697888,204.538035401,212.060027543,423.10480681,Conservation Cover,,
Robinson Creek,051201011003,3,3,7.5,7.5,11.3887697075,14.8079693631,29.5923001002,Cover Crop,,
Graham McCulloch Ditch #1-Little River,051201011004,6,8,24.8,44.8,63.4551630715,85.6630214018,170.191472687,Early Successional Habitat Development/Management,,
Little Indian Creek-Aboite Creek,051201011005,3,3,28.6,28.6,79.909552626,90.0392888404,180.026324607,Cover Crop,,
Cow Creek-Little River,051201011006,4,5,108.72,110.85,170.962926707,244.370317351,488.461417397,CREP CP 21 Filter Strips,,
Flat Creek,051201011101,1,7,9.39,23.06,228.449213238,313.714099981,618.373074708,CREP CP 21 Filter Strips,,
Bull Creek-Little River,051201011102,4,9,129.17,146.44,506.881861578,754.401799079,1505.48117086,CREP CP 21 Filter Strips,,
Mud Creek-Little River,051201011103,6,20,35.29,100.048209366,822.847845767,1182.33883739,2298.58227616,CREP CP 21 Filter Strips,,
Flint Creek-Little River,051201011104,5,14,16.5136547291,82.8436547291,287.666920338,383.274416668,764.480448274,Grade Stabilization Structure,,
West Branch Clear Creek,051201011201,13,16,69.64,80.47,642.773013406,813.280171715,1621.49305634,Critical Area Planting,,
Headwaters Clear Creek,051201011202,25,53,363.960661157,435.947208448,1298.17382237,1439.83946451,2881.62740074,Cover Crop,,
Huntington Lake-Wabash River,051201011301,0,0,0,0,0,0,0,N/a,,
Silver Creek,051201011302,5,16,25.98,67.2371166208,484.011207675,642.300142056,1280.30604956,CREP CP 21 Filter Strips,,
Town of Andrews-Wabash River,051201011303,0,9,0,23.25,35.1091201415,41.4103423951,82.802608047,N/a,,
Loon Creek,051201011304,0,2,0,8.85344352617,9.29782216325,12.5914392248,25.1579665624,N/a,,
Hanging Rock-Wabash River,051201011305,5,11,208.35,239.18,291.193725592,409.395357239,818.194408855,CREP CP 21 Filter Strips,,
Enyeart Creek-Wabash River,051201011401,3,16,48.98,74.5995592286,707.597701261,866.03038914,1728.77670733,CREP CP 21 Filter Strips,,
Stone Creek-Treaty Creek,051201011402,13,22,221.92,237.638089991,1052.40855128,1218.56471056,2580.41624629,Cover Crop,,
Burr Creek-Wabash River,051201011403,12,35,347.6,364.3,2750.34641163,3260.73560574,6475.53057447,Cover Crop,,
Ridgeway Creek,051201011404,5,10,182,199.253535354,647.58424581,724.286155068,1448.06101404,Cover Crop,,
Kentner Creek,051201011405,7,28,106.19902663,146.111515152,765.715988562,871.1350738,1720.99863485,Heavy Use Area Protection,,
Gilbert Branch-Wabash River,051201011406,2,6,36.4,40.6,379.519858436,395.413991111,795.718203012,Cover Crop,,
Daniel Creek-Wabash River,051201011407,3,25,5.79421487603,100.015977961,562.395275467,630.371008594,1260.42982195,Critical Area Planting,,
Headwaters Pipe Creek,051201011501,0,0,0,0,0,0,0,N/a,,
Stony Creek-Pipe Creek,051201011502,0,2,0,2.9,6.84092590438,8.95384873089,17.8924027495,N/a,,
Turkey Creek-Little Pipe Creek,051201011503,15,21,237,244.9,786.120994566,1015.02254918,2020.82334102,Conservation Cover,,
Honey Creek,051201011504,11,27,496.2,517.912052342,1566.60583455,1920.2764797,3830.97204313,Cover Crop,,
Walnut Creek-Pipe Creek,051201011505,18,25,592.49,609.714104683,1730.2716243,2014.85070759,4023.33293744,Cover Crop,,
Negro Creek-Pipe Creek,051201011506,11,12,282.8,283.5,717.397057492,841.558644266,1681.36410748,Cover Crop,,
Bear Creek-Pipe Creek,051201011507,17,28,355.508034894,363.008034894,1105.74092984,1309.31253467,2575.50093242,Cover Crop,,
Salem Ditch-Little Pipe Creek,051201011601,17,22,512.15,523.25,1320.45178896,1545.12603401,3092.88489715,Cover Crop,,
Prairie Ditch-Wabash River,051201011602,5,16,64.3482093664,162.648209366,422.741009946,523.552909646,1046.3264867,Cover Crop,,
Lowe Ditch-Wabash River,051201011603,0,22,0,17.3,1000.91730085,1004.21494398,2008.30696968,N/a,,
McLaughlin Ditch-Salamonie River,051201020101,9,12,299.63,302.63,691.604345953,965.686008729,1928.12404827,Cover Crop,,
Little Salamonie River,051201020102,1,1,43,43,71.0569036752,103.874177748,207.566010557,Cover Crop,,
Berger Ditch-Salamonie River,051201020103,4,4,191.96,191.96,478.94448568,621.27986612,1241.78899182,Cover Crop,,
Sipe Ditch,051201020104,0,0,0,0,0,0,0,N/a,,
Miller Ditch-Salamonie River,051201020105,0,0,0,0,0,0,0,N/a,,
Cowboy Run-Brooks Creek,051201020106,7,7,125.3,125.3,218.447549301,315.564095032,630.646950515,Cover Crop,,
Mud Creek-Brooks Creek,051201020107,8,8,217.9,217.9,369.9343685,537.527395398,1074.17409078,Cover Crop,,
Glenn Miller Ditch-Salamonie River,051201020108,3,3,214.54,214.54,329.092432476,488.241636269,975.482433218,Cover Crop,,
Twomile Ditch-Salamonie River,051201020201,8,8,541.73,541.73,841.976493061,1227.01122863,2451.25699095,Cover Crop,,
Beaver Creek-Salamonie River,051201020202,5,5,197.67,197.67,275.756272427,414.435281489,827.911906842,Cover Crop,,
Stoney Creek-Salamonie River,051201020203,11,12,396.27,430.87,550.756993994,838.00320611,1674.7792702,Cover Crop,,
Scuffle Creek-Salamonie River,051201020301,19,27,441.88,450.08,668.463760704,869.546689068,1733.66497329,Cover Crop,,
Prairie Creek,051201020302,2,3,56.3,67.7,69.5867956756,99.1177274352,198.013338439,Cover Crop,,
Shadle Drain-Salamonie River,051201020303,1,1,37.2,37.2,43.3291586298,59.8779734075,119.635225994,Cover Crop,,
Baker Ditch-Black Creek,051201020304,2,3,1.3,2.2,200.7,205.1,410.2,Grade Stabilization Structure,,
Little Black Creek-Black Creek,051201020305,0,0,0,0,0,0,0,N/a,,
Morrison Ditch-Salamonie River,051201020306,5,10,36.8,51.6,147.329718195,172.549197001,345.114055962,Early Successional Habitat Development/Management,,
Weasel Creek-Salamonie River,051201020401,11,27,7.5,18.2000688705,1789.68864842,2813.81019262,5619.4437106,Early Successional Habitat Development/Management,,
Richland Creek,051201020402,1,12,100,119.633884298,869.833630456,911.458442574,1822.51002803,Cover Crop,,
Majencia Creek,051201020403,2,10,73.99,93.29,223.955883409,324.527731857,645.884282424,CREP CP 21 Filter Strips,,
Rush Creek,051201020404,4,15,148.8,154.699265381,1316.04102641,1490.22286853,2981.04706952,Cover Crop,,
Salamonie Reservoir-Salamonie River,051201020405,2,4,70,70.4112488522,128.602865004,155.893443578,311.490325936,Cover Crop,,
Indian Creek-Salamonie River,051201020406,0,0,0,0,0,0,0,N/a,,
Little Mississinewa River,051201030101,0,0,0,0,0,0,0,N/a,,
Gray Branch-Mississinewa River,051201030102,0,0,0,0,0,0,0,N/a,,
Jordan Creek-Mississinewa River,051201030103,3,32,178.2,220.4,412.982203923,566.373964959,1131.79858301,Cover Crop,,
Porter Creek-Mississinewa River,051201030104,15,28,518.8,528.7,707.755248689,942.93999506,1884.2926796,Cover Crop,,
Mud Creek-Mississinewa River,051201030105,9,21,245.4,263.424104683,1140.25705378,1273.35351505,2555.99134457,Cover Crop,,
Days Creek,051201030201,8,8,423.5,423.5,671.059439318,988.966951209,1976.03694977,Cover Crop,,
Bear Creek,051201030202,1,7,1.8,11.2,224.175746387,237.052470056,476.085683089,Grassed Waterway,,
Fetid Creek-Mississinewa River,051201030203,0,13,0,32.1241046832,421.297127772,467.705321379,944.368285657,N/a,,
Bush Creek,051201030204,0,5,0,10.2,23.4207756835,30.5332615316,61.0156263777,N/a,,
Redkey Run-Halfway Creek,051201030205,29,29,886.7,886.7,1428.95155176,2055.15003538,4106.86815464,Cover Crop,,
Platt Nibarger Ditch-Mississinewa River,051201030206,3,12,226.1,237.1,1029.29474711,1246.72975374,2503.64644567,Cover Crop,,
Little Lick Creek-Big Lick Creek,051201030301,14,20,110.444903581,131.287488522,552.771159908,649.806734645,1291.32653805,Conservation Cover,,
Townsand Lucas Ditch-Big Lick Creek,051201030302,5,9,7.1,19.2,591.642530812,608.006344937,1215.81292306,Grassed Waterway,,
Campbell Creek,051201030401,0,5,0,1.93213957759,59.6557363037,59.122395733,115.249345238,N/a,,
Rees Ditch-Mississinewa River,051201030402,3,3,283.8,283.8,352.625369872,502.359694308,1003.74065655,Cover Crop,,
Studebaker Ditch-Pike Creek,051201030403,0,0,0,0,0,0,0,N/a,,
Holden Ditch-Mississinewa River,051201030404,1,1,5,5,9.69643698175,13.1214207799,26.2174941241,Forage and Biomass Planting,,
Hoppas Ditch-Mississinewa River,051201030501,0,0,0,0,0,0,0,N/a,,
Lake Branch-Mississinewa River,051201030502,0,0,0,0,0,0,0,N/a,,
Barren Creek,051201030503,0,0,0,0,0,0,0,N/a,,
Back Creek,051201030504,8,8,194,194,182.932025568,259.583806398,518.597508789,Cover Crop,,
Little Walnut Creek-Walnut Creek,051201030505,13,13,600,600,636.753515224,956.154303813,1909.8682301,Cover Crop,,
Walnut Creek,051201030506,0,0,0,0,0,0,0,N/a,,
Little Deer Creek-Deer Creek,051201030507,0,0,0,0,0,0,0,N/a,,
Deer Creek,051201030508,0,0,0,0,0,0,0,N/a,,
Lugar Creek,051201030509,2,7,0,3.8,717.9,745.1,1489.1,Grassed Waterway,,
Branch Creek-Mississinewa River,051201030510,0,9,0,53.7060606061,377.718392215,425.324440557,853.407164012,N/a,,
Boots Creek-Mississinewa River,051201030511,0,0,0,0,0,0,0,N/a,,
Hummel Creek-Mississinewa River,051201030601,0,3,0,5,7.83858240395,11.0660061987,22.1073559925,N/a,,
Metocinah Creek,051201030602,0,6,0,3.33562901745,272.4,260.5,520.7,N/a,,
Grant Creek-Mississinewa River,051201030603,8,13,49.2,72,736.437526461,852.527371182,1699.81397228,Grassed Waterway,,
Forked Branch-Mississinewa River,051201030604,0,3,0,1.83562901745,251.8,287.4,570.8,N/a,,
Mississinewa Lake-Mississinewa River,051201030605,0,3,0,17.8,138.985516182,151.292434664,301.498654481,N/a,,
Town of Peoria-Mississinewa River,051201030606,1,4,1.3,14.8,48.3413468921,59.1502274394,118.234144801,Conservation Cover,,
Headwaters Blue River,051201040101,30,62,257.9,352.289876033,974.67659985,1148.026326,2292.22658389,Cover Crop,,
Mud Run-Blue River,051201040102,30,33,337.307116621,367.807116621,992.856589143,1128.01110136,2256.2038134,Cover Crop,,
Thorn Creek-Blue River,051201040103,25,25,682.9,682.9,1624.22691547,1889.03431467,3776.55225529,Cover Crop,,
Blue Babe Branch-Blue River,051201040104,2,15,38.8045913682,73.5099632691,526.245455682,812.212263281,1626.30267437,Cover Crop,,
Berward Ditch-Eel River,051201040201,20,20,119.4,119.4,165.104767802,242.037074818,482.963953714,Conservation Cover,,
Johnson Drain-Eel River,051201040202,6,6,12.8,12.8,28.0589145483,39.7653034308,78.5260283477,Conservation Cover,,
Krider Ditch-Eel River,051201040203,18,23,370.733149679,430.664830119,830.916122196,1009.9363763,2017.63393047,Cover Crop,,
Solon Ditch-Eel river,051201040204,5,6,61.5520890725,66.8520890725,181.336458704,206.920190024,413.698169325,Cover Crop,,
Emerick Branch-Gangwer Ditch,051201040205,21,30,309.3,316.6,984.782596076,1110.71832974,2219.42350944,Cover Crop,,
Black Lake-Spring Creek,051201040301,28,38,614.4,626.816391185,1888.04676926,2132.09767285,4263.8413375,Cover Crop,,
Shoenauer Ditch-Spring Creek,051201040302,7,22,118.5,192.378099174,459.28704329,492.25104711,982.587123478,Tree/Shrub Establishment,,
Headwaters Sugar Creek,051201040303,6,6,232.3,232.3,844.9394701,909.219803206,1818.19772642,"Residue and Tillage Management, No-Till",,
County Farm Ditch-Eel River,051201040304,26,28,549.5,556.8,1567.03306195,1763.29147376,3525.56138063,Cover Crop,,
Mishler Ditch-Eel River,051201040401,24,25,566.4956382,567.4956382,1381.95605433,1437.91150522,2882.91982116,"Residue and Tillage Management, No-Till",,
Hurricane Creek-Eel River,051201040402,8,8,176.1,176.1,420.323566847,488.52392729,976.657989824,Cover Crop,,
Plunge Creek-Eel River,051201040403,35,44,1352,1435.5,2767.64431821,2953.26274043,5928.37717258,Cover Crop,,
Simonton Creek-Eel River,051201040404,13,25,375.4,429.696602388,1042.51744839,1222.99799715,2442.90746384,"Residue and Tillage Management, No-Till",,
Pony Creek,051201040405,12,16,193.3,202.93328742,645.824323295,741.477706962,1481.48322328,"Residue and Tillage Management, No-Till",,
Nelson Creek-Clear Creek,051201040406,16,24,398,447.5,872.713960414,934.412051002,1874.17329803,Early Successional Habitat Development/Management,,
Swank Creek-Eel River,051201040407,3,4,368,371.6,663.291764485,720.148041763,1445.4944983,"Residue and Tillage Management, No-Till",,
Silver Creek,051201040501,86,100,1947.1,2040,3731.87404998,4227.03771938,8469.07562933,"Residue and Tillage Management, No-Till",,
Otter Creek-Eel River,051201040502,17,19,696.2,703.5,1284.97315856,1586.15543745,3170.38224546,"Residue and Tillage Management, No-Till",,
Beargrass Creek,051201040503,23,30,1373,1379.05656566,2075.80211474,2628.35617105,5251.58579358,Cover Crop,,
Bolley Ditch,051201040504,34,48,531,588.2,1427.29403044,1656.10247638,3312.86597172,Cover Crop,,
Squirrel Creek,051201040505,27,47,628.6,751.3,2170.29177512,2540.80984799,5079.13425365,Cover Crop,,
Sharp Ditch-Paw Paw Creek,051201040506,1,7,33,44.7299357208,309.981101607,326.146035885,653.080293029,Cover Crop,,
Bachelor Creek-Paw Paw Creek,051201040507,5,10,312.4,315.878213958,880.376083294,1018.68500729,2036.69839144,Cover Crop,,
Oren Ditch-Paw Paw Creek,051201040508,1,9,0.5,30,162.450952664,171.527523933,342.927233518,Grassed Waterway,,
Town of Roann-Eel River,051201040509,8,16,210.8,231.721763085,470.009111937,581.569421533,1164.41209376,Early Successional Habitat Development/Management,,
Flowers Creek-Eel River,051201040601,17,22,900.7,929.6,2023.06573614,2444.63529278,4886.49294847,Cover Crop,,
Little Weesau Creek-Weesau Creek,051201040602,34,43,865.7,889.6,2316.68425667,2719.11435596,5438.23339703,Cover Crop,,
Washonis Creek-Eel River,051201040603,35,48,1038.6,1158.9,2775.40000757,3332.00166044,6614.60067145,Cover Crop,,
East Branch Twelvemile Creek,051201040701,9,17,60.1,63.3,304.35646334,338.155859007,676.372972176,Conservation Cover,,
West Branch Twelvemile Creek,051201040702,2,10,234.3,367.5,450.798430672,626.584341601,1251.86600839,Cover Crop,,
Twelvemile Creek,051201040703,3,4,212.9,218.4,392.054245774,490.076255894,979.508178465,Cover Crop,,
Town of Hoover-Eel River,051201040704,7,14,236.7,269.9,585.899641469,720.106124802,1439.230178,Cover Crop,,
Mud Branch-Eel River,051201040705,9,13,151.5,165.3,258.869313189,332.105897654,663.677086684,Early Successional Habitat Development/Management,,
Headwaters Crooked Creek,051201050101,17,17,8.2,8.2,19.1751333719,24.8696644115,49.6987034384,Early Successional Habitat Development/Management,,
Miller Ditch-Crooked Creek,051201050102,8,15,242.2,585.6,738.611256703,1043.39131816,2084.47775583,Cover Crop,,
Galbreath Ditch-Crooked Creek,051201050103,1,8,9,44.3,144.808720995,172.220532962,344.531985613,Early Successional Habitat Development/Management,,
Grants Run-Wabash River,051201050104,8,30,183.3,200.1,948.681817028,1099.1101393,2196.7317741,Early Successional Habitat Development/Management,,
Toney Ditch-Rock Creek,051201050201,7,10,228.9,231.9,280.2456925,374.077365726,747.49410287,Cover Crop,,
Little Rock Creek,051201050202,16,18,692.3,693.2,803.039646622,1079.31117247,2156.66603057,Cover Crop,,
Widow Creek-Rock Creek,051201050203,0,2,0,1.6,3.74882017532,4.86792858308,9.7278782072,N/a,,
Burnetts Creek,051201050204,3,3,13.6,13.6,20.67030229,23.3692910213,46.6234642213,Tree/Shrub Establishment,,
Ryan Appleton Ditch-Rock Creek,051201050205,6,7,172.1,176.7,466.689166499,635.970874998,1268.45791779,Cover Crop,,
Keeps Creek-Wabash River,051201050206,8,19,207.8,211.8,458.88393134,551.786762615,1102.63427426,Cover Crop,,
Headwaters Rattlesnake Creek,051201050301,6,8,118.3,128.589256198,426.361090689,539.980294943,1070.81175769,Cover Crop,,
Hickory Grove Church-Rattlesnake Creek,051201050302,2,4,7.5,8.25188246097,382.815209353,547.924728477,1089.85643119,Conservation Cover,,
Pleasant Run-Wabash River,051201050303,4,12,159.4,165.407713499,443.368008906,562.423200625,1122.36931267,Conservation Cover,,
Copper Creek-Deer Creek,051201050401,16,22,673.7,678.3,1551.01802042,1852.34125003,3702.94023073,Cover Crop,,
Wise Grinslade Ditch-Deer Creek,051201050402,12,15,378.9,380.8,1248.1419176,1621.79571054,3237.61232686,Cover Crop,,
 Matthew Anaker Ditch-South fork Deer Creek,051201050403,0,2,0,0.6,1.73276069128,2.17813261522,4.35315975592,N/a,,
Manson Kingery Ditch-South Fork deer Creek,051201050404,2,7,106.1,108,235.821429706,286.34595349,572.228415625,Cover Crop,,
Russell Ditch-Deer Creek,051201050405,8,17,263.7,271.5,796.990045774,907.410253815,1814.16414066,Cover Crop,,
Henry Gilbert Ditch-Little Deer Creek,051201050501,4,38,5.4,172.312052342,425.94084378,592.774948616,1183.49392052,Early Successional Habitat Development/Management,,
McClosky Ditch,051201050502,16,17,658.4,658.5,920.746541076,1200.09250776,2399.26368434,Cover Crop,,
Little Deer Creek,051201050503,16,19,281.2,285.596418733,461.671473184,585.142313403,1167.44359465,Cover Crop,,
Paint Creek,051201050504,4,6,78.4,78.5964187328,591.254669974,387.901375249,929.578994303,Cover Crop,,
Headwaters Bachelor Run,051201050505,6,8,296.2,296.60348944,426.733048623,553.914434539,1106.93991396,Cover Crop,,
Kuns Ditch-Bachelor Run,051201050506,8,8,310.2,310.2,449.112367681,582.321827231,1163.73262035,Cover Crop,,
Monson Ditch-Deer Creek,051201050507,11,24,305.1,332.29,697.496781151,836.23947145,1670.73639065,Cover Crop,,
Robinson Branch-Deer Creek,051201050508,6,10,377.3,384.8,603.461268833,778.602558016,1559.09338689,Cover Crop,,
