HU_12_NAME,HUC_12,Inst_BMP,Active_BMP,Inst_Ac,Active_Ac,Sediment,Phosphorus,Nitrogen,Lead_BMP,x,y
Black Creek,041000050104,28,47,1152.8,1189.5,1237.55154214,1733.29946115,3526.52775925,Cover Crop,,
Bottern Ditch-Maumee River,041000050105,39,51,1134.8,1316.16446281,1689.68696737,2267.60271182,4526.36620293,Cover Crop,,
Marsh Ditch-Maumee River,041000050106,42,43,1887,1887.3,2183,2933,5863,Cover Crop,,
Zuber Cutoff,041000050201,13,13,503,503,528,724,1446,Cover Crop,,
North Chaney Ditch-Maumee River,041000050202,8,9,369.7,389.6,414.464206576,572.822662441,1141.55006261,Cover Crop,,
Marie DeLarme Creek,041000050203,78,96,2619.2,2677.04504132,3918.6599482,4954.8478095,9889.65667525,Cover Crop,,
Gordon Creek,041000050204,3,3,198.1,198.1,529,617,1236,Cover Crop,,
Upper Blue Creek,041000071002,0,0,0,0,0,0,0,N/a,,
Headwaters Flatrock Creek,041000071201,22,25,423.264508724,428.164508724,411,587,1172,Cover Crop,,
Headwaters Hoffman Creek,041000071202,8,16,203.1,212.6,248.560954138,338.464052603,676.922044274,Cover Crop,,
Bohnke Ditch-Hoffman Creek,041000071203,23,30,612.9,625.8,680,941,1881,Cover Crop,,
Brown Ditch-Flatrock Creek,041000071204,38,42,1003.21671258,1007.91671258,1268.9,1673.9,3346.8,Cover Crop,,
Wildcat Creek-Flatrock Creek,041000071205,10,11,528.6,528.8,540,746,1489,Cover Crop,,
Dismal Creek,050800011001,1,3,4.6,6,122,124,248,Cover Crop,,
Kraut Creek,050800011002,2,2,72.6,72.6,96,126,252,Cover Crop,,
Headwaters Greenville Creek,050800011004,21,21,567.829614325,567.829614325,736,970,1937,Cover Crop,,
Jordan Creek-Martindale Creek,050800030102,40,58,491.683062443,531.215270891,2126.36389688,2292.92351388,4590.84340346,Cover Crop,,
Little Creek-Whitewater River,050800030104,24,70,739.636290174,851.193682277,2622.61378295,2900.56754647,5800.94363107,Cover Crop,,
Little Mud Creek-Mud Creek,050800030201,0,7,0,7.2080348944,707,773,1547,N/a,,
Copy Run-Greens Fork,050800030202,6,44,114.2,150.696395776,2069.48804302,2052.61903227,4112.39223387,Cover Crop,,
Stoney Creek-Wabash River,051201010102,6,10,266.54,268.94,489.610085323,697.60567689,1394.10551591,Cover Crop,,
Toti Creek-Wabash River,051201010103,0,0,0,0,0,0,0,N/a,,
Wilson Creek-Limberlost Creek,051201010401,15,17,486.66,488.76,813,1186,2367,Cover Crop,,
Shirk Votaw Ditch-Camp Run,051201010402,17,22,655.55,731.25,1046.11012024,1525.91854812,3047.24991664,Cover Crop,,
Bear Creek,051201010403,12,24,365.4,378.053999082,1190.79159908,1588.7449801,3175.46687833,Cover Crop,,
Oakley Ditch-Limberlost Creek,051201010404,0,4,0,7.9,56.6922083565,86.7259130002,174.441334179,N/a,,
Votaw Ditch-Loblolly Creek,051201010405,26,38,952.98,1081.08,1355.28011186,1945.22940718,3882.38473492,Cover Crop,,
Hickory Branch-Wabash River,051201010501,8,9,272.5,277.89,475,703,1401,Cover Crop,,
Brewster Ditch-Wabash River,051201010502,7,33,306.68,440.740284665,513.287865934,735.989463351,1472.76161958,Cover Crop,,
Jamstutz Ditch-Wabash River,051201010601,26,58,775.42,1024.63866391,986.710033789,1443.76079346,2881.12535569,Cover Crop,,
Threemile Creek-Wabash River,051201010602,8,12,381.96,405.93,629,919,1835,Cover Crop,,
Kunkel Lake-Sixmile Creek,051201010603,4,8,232.37,255.47,276.611117432,390.722079493,781.342262736,Cover Crop,,
Miller Ditch-Sixmile Creek,051201010604,28,52,872.7,1230.46,1203.9938589,1733.98509943,3460.6209456,Cover Crop,,
Headwaters Rock Creek,051201010701,10,23,381.8,386.9,528.098074855,713.806225815,1410.60724263,Cover Crop,,
Mossburg Ditch,051201010702,6,8,206.6,209.2,304.6,411.6,822.2,Cover Crop,,
Stites Ditch-Rock Creek,051201010703,41,48,1636.2,1678.01606979,2313.17467174,4775.11272316,18421.0477863,"Residue and Tillage Management, No Till",,
Elkenberry Ditch-Rock Creek,051201010704,5,12,195.55,214.22,599.056214818,919.423193774,1836.84427517,Cover Crop,,
Johns Creek-Wabash River,051201010801,11,23,419.1,526.2,732.956871746,972.081817129,1930.55722339,Cover Crop,,
Dowty Ditch-Wabash River,051201010802,35,45,1028,1068.4,1333.14246325,1805.30193821,3619.42596754,Cover Crop,,
Bender Ditch-Wabash River,051201010803,8,10,178.86,237.86,414.473138278,593.797642834,1183.31604295,Cover Crop,,
Griffin Ditch-Wabash River,051201010804,11,12,196.2,200.59,260,357,717,Cover Crop,,
Maple Creek-Eightmile Creek,051201010901,37,40,1023.3,1027,1311.94107334,1797.23016024,3591.45823409,Cover Crop,,
Moser Lake-Eightmile Creek,051201010902,10,11,388.9,389.88,451,628,1254,Cover Crop,,
Big Creek-Eightmile Creek,051201010903,38,41,584.240082645,586.540082645,966.341847999,1256.77194575,2514.54076062,Cover Crop,,
Pleasant Run Ditch-Eightmile Creek,051201010904,4,6,132.6,136.140174472,723,861,1722,Cover Crop,,
Seeger Ditch,051201011001,9,10,4.81928374656,10.4192837466,405.385710716,409.040136319,797.052732937,Grassed Waterway,,
Beal Taylor Ditch-Aboite Creek,051201011002,0,8,0,16.6160697888,204.538035401,212.060027543,423.10480681,N/a,,
Robinson Creek,051201011003,2,2,6.3,6.3,9,12,23,Cover Crop,,
Graham McCulloch Ditch #1-Little River,051201011004,4,6,84.2,104.2,121.183604326,159.148879178,317.285291553,Cover Crop,,
Little Indian Creek-Aboite Creek,051201011005,14,15,259.9,262.3,661.706016969,765.298179845,1526.58646935,Cover Crop,,
Cow Creek-Little River,051201011006,14,21,314.37,340.42,889.876604631,1228.69420284,2456.1132896,CREP CP 21 Filter Strips (ft and acres),,
Flat Creek,051201011101,6,11,206.9,220.56,451.843937648,621.852888196,1235.6983202,Cover Crop,,
Bull Creek-Little River,051201011102,9,24,170.83,217.73,688.570169039,1007.40607636,2006.87826107,Cover Crop,,
Mud Creek-Little River,051201011103,0,26,0,114.148209366,859.206413386,1227.90630485,2389.64824685,N/a,,
Flint Creek-Little River,051201011104,2,17,1.32885674931,84.8725114784,635.126746033,680.214766768,1358.35765202,Conservation Cover,,
West Branch Clear Creek,051201011201,2,23,60,96.97,685.863329312,864.183179392,1723.49719897,Cover Crop,,
Headwaters Clear Creek,051201011202,17,70,437.182924702,715.677084481,2351.81658534,2773.97593414,5263.10201469,Cover Crop,,
Huntington Lake-Wabash River,051201011301,0,0,0,0,0,0,0,N/a,,
Silver Creek,051201011302,9,27,14.59,66.7271166208,739.678602638,1006.42656278,2010.67110631,Conservation Cover,,
Town of Andrews-Wabash River,051201011303,3,13,40.24,65.57,115.060509386,154.752559119,308.484699658,CREP CP 21 Filter Strips (ft and acres),,
Loon Creek,051201011304,6,18,92.2999730478,151.349353213,410.256574676,609.275524592,1211.28408798,CREP CP 21 Filter Strips (ft and acres),,
Hanging Rock-Wabash River,051201011305,5,13,164.87,202.45,297.106395899,418.918004169,835.797496203,CREP CP 21 Filter Strips (ft and acres),,
Enyeart Creek-Wabash River,051201011401,3,15,1.21377410468,50.5133333333,749.503561345,901.684425972,1800.15497793,Grassed Waterway,,
Stone Creek-Treaty Creek,051201011402,20,32,390.93,432.878089991,1624.7042226,1962.17079086,4064.20917764,Cover Crop,,
Burr Creek-Wabash River,051201011403,7,34,107.2,199,2873.1,3369.5,6693.9,Cover Crop,,
Ridgeway Creek,051201011404,1,6,26,43.2535353535,448.020797828,461.599142119,922.189484724,"Residue and Tillage Management, No Till",,
Kentner Creek,051201011405,5,37,193.6,303.140165289,1296.0958042,1465.13016245,2909.21840455,Cover Crop,,
Gilbert Branch-Wabash River,051201011406,3,7,51,55.2,399.2,421.2,845.4,Cover Crop,,
Daniel Creek-Wabash River,051201011407,9,26,196.4,265.415977961,1259.88952433,1424.01322218,2841.87532154,Cover Crop,,
Headwaters Pipe Creek,051201011501,0,0,0,0,0,0,0,N/a,,
Stony Creek-Pipe Creek,051201011502,1,1,11.8,11.8,12,17,35,Cover Crop,,
Turkey Creek-Little Pipe Creek,051201011503,8,26,303.9,315.9,1082.5,1393.5,2776.5,Cover Crop,,
Honey Creek,051201011504,11,21,251.3,267.212052342,1230.58012885,1463.866457,2917.52446922,Grassed Waterway,,
Walnut Creek-Pipe Creek,051201011505,9,35,379.6,397.364104683,2559.1,2863.1,5718.7,Cover Crop,,
Negro Creek-Pipe Creek,051201011506,9,12,337.6,345.8,950,1186,2366,Cover Crop,,
Bear Creek-Pipe Creek,051201011507,35,48,909.827548209,929.635583104,2385.59022263,2828.65492783,5622.19488502,Cover Crop,,
Salem Ditch-Little Pipe Creek,051201011601,11,21,283.7,319.8,1150.49585226,1395.9309833,2793.81556412,Cover Crop,,
Prairie Ditch-Wabash River,051201011602,4,24,185.8,261.148209366,1226.44446885,1364.62177466,2726.77807614,Cover Crop,,
Lowe Ditch-Wabash River,051201011603,9,29,155.4,169.6,1339.69469397,1409.81022283,2819.51247081,"Residue and Tillage Management, No Till",,
McLaughlin Ditch-Salamonie River,051201020101,45,56,1209.60029456,1219.70029456,3126.04697804,4123.01864968,8254.02292018,Cover Crop,,
Little Salamonie River,051201020102,23,23,291.6,291.6,685,941,1877,Cover Crop,,
Berger Ditch-Salamonie River,051201020103,15,16,555.37,556.77,1098.4,1521.4,3043.9,Cover Crop,,
Sipe Ditch,051201020104,0,1,0,2,367,367,733,N/a,,
Miller Ditch-Salamonie River,051201020105,5,13,33.7,46.7,1327.12328976,1378.20803862,2759.4153864,Grassed Waterway,,
Cowboy Run-Brooks Creek,051201020106,2,2,43.12,43.12,205,257,516,Cover Crop,,
Mud Creek-Brooks Creek,051201020107,9,11,220.921549258,222.621549258,620,787,1572,Cover Crop,,
Glenn Miller Ditch-Salamonie River,051201020108,27,27,48.4,48.4,125,178,362,Early Successional Habitat Development-Mgt,,
Twomile Ditch-Salamonie River,051201020201,7,8,690.08,690.68,994.8,1469.8,2934.5,Cover Crop,,
Beaver Creek-Salamonie River,051201020202,15,15,956.44,956.44,1052,1587,3166,Cover Crop,,
Stoney Creek-Salamonie River,051201020203,2,4,105.05,141.85,212.258650149,316.161543919,633.975821212,Cover Crop,,
Scuffle Creek-Salamonie River,051201020301,10,26,328.678123277,340.583632919,539.983695998,689.843891501,1374.38152124,Cover Crop,,
Prairie Creek,051201020302,19,19,537.3,537.3,683,1025,2048,Cover Crop,,
Shadle Drain-Salamonie River,051201020303,12,15,466.9,469.659687787,574.54086151,4485.33153689,18023.7496563,Cover Crop,,
Baker Ditch-Black Creek,051201020304,5,14,40,49,299.387239249,335.915480006,669.799197326,Conservation Cover,,
Little Black Creek-Black Creek,051201020305,0,1,0,0.179935720845,1.35821733239,1.25427053991,2.50955781086,N/a,,
Morrison Ditch-Salamonie River,051201020306,1,9,75.1,88.4985766758,428.899471675,468.445655373,936.241739435,"Residue and Tillage Management, No Till",,
Weasel Creek-Salamonie River,051201020401,1,22,107,121.100068871,1914.92461873,2975.34340223,5942.4370727,Cover Crop,,
Richland Creek,051201020402,0,11,0,19.6338842975,777.330065203,781.383807904,1562.63747542,N/a,,
Majencia Creek,051201020403,17,28,413.413821172,449.303821172,590.339810396,828.25546209,1650.48987998,Cover Crop,,
Rush Creek,051201020404,15,27,19.8,27.0992653811,1879.9,2203.9,4411.8,Early Successional Habitat Development-Mgt,,
Salamonie Reservoir-Salamonie River,051201020405,5,7,81.2,81.6112488522,141.8,171.8,346.5,Cover Crop,,
Indian Creek-Salamonie River,051201020406,0,0,0,0,0,0,0,N/a,,
Little Mississinewa River,051201030101,5,5,116.4,116.4,161,210,416,Cover Crop,,
Gray Branch-Mississinewa River,051201030102,4,4,18.9,18.9,30,38,77,Conservation Cover,,
Jordan Creek-Mississinewa River,051201030103,8,10,541.9,560.7,895.29339756,1297.69734865,2592.37401681,Cover Crop,,
Porter Creek-Mississinewa River,051201030104,43,43,853.4,853.4,1805,2250,4498,Cover Crop,,
Mud Creek-Mississinewa River,051201030105,15,35,63.2,85.4241046832,2441.63616209,2605.82449337,5214.62718635,Cover Crop,,
Days Creek,051201030201,51,51,1579.9,1579.9,2590,3792,7576,Cover Crop,,
Bear Creek,051201030202,0,8,0,11,224.334059962,237.096849526,476.175498165,N/a,,
Fetid Creek-Mississinewa River,051201030203,0,10,0,32.6241046832,414.988261082,458.89297963,926.762746034,N/a,,
Bush Creek,051201030204,0,0,0,0,0,0,0,N/a,,
Redkey Run-Halfway Creek,051201030205,32,33,1548.84654471,1549.34654471,2414.69578605,3520.36069833,7026.71908623,Cover Crop,,
Platt Nibarger Ditch-Mississinewa River,051201030206,12,18,511.92,517.72,1410,1773,3555,Cover Crop,,
Little Lick Creek-Big Lick Creek,051201030301,43,64,1541.64355134,1685.23103986,2951.12621054,4017.95114942,8024.49662813,Cover Crop,,
Townsand Lucas Ditch-Big Lick Creek,051201030302,2,7,128.39,132.69,715.392367411,785.28039184,1570.49486141,Cover Crop,,
Campbell Creek,051201030401,0,7,0,3.83213957759,64.4743516626,65.2809847124,127.557111127,N/a,,
Rees Ditch-Mississinewa River,051201030402,28,38,1454.996,1460.34765289,2627.4,3297.4,6594.2,Cover Crop,,
Studebaker Ditch-Pike Creek,051201030403,0,0,0,0,0,0,0,N/a,,
Holden Ditch-Mississinewa River,051201030404,4,5,114.98,119.98,156.696436982,208.12142078,416.217494124,Cover Crop,,
Hoppas Ditch-Mississinewa River,051201030501,0,0,0,0,0,0,0,N/a,,
Lake Branch-Mississinewa River,051201030502,0,0,0,0,0,0,0,N/a,,
Barren Creek,051201030503,0,5,0,20,57.6485602382,58.3257567057,116.546463568,N/a,,
Back Creek,051201030504,0,0,0,0,0,0,0,N/a,,
Little Walnut Creek-Walnut Creek,051201030505,4,5,308.825,334.625,404.744075482,627.461704575,1252.66679116,Cover Crop,,
Walnut Creek,051201030506,0,0,0,0,0,0,0,N/a,,
Little Deer Creek-Deer Creek,051201030507,0,0,0,0,0,0,0,N/a,,
Deer Creek,051201030508,0,0,0,0,0,0,0,N/a,,
Lugar Creek,051201030509,3,10,10.9,14.7,731.9,763.1,1524.1,Cover Crop,,
Branch Creek-Mississinewa River,051201030510,0,9,0,53.7060606061,377.718392215,425.324440557,853.407164012,N/a,,
Boots Creek-Mississinewa River,051201030511,0,0,0,0,0,0,0,N/a,,
Hummel Creek-Mississinewa River,051201030601,5,8,12.4,17.4,31.8385824039,40.0660061987,79.1073559925,Cover Crop,,
Metocinah Creek,051201030602,22,28,563.6,566.935629017,1386.4,1672.5,3346.7,Cover Crop,,
Grant Creek-Mississinewa River,051201030603,7,22,87.9,122.4,1195.04352352,1390.01667411,2771.98526041,Cover Crop,,
Forked Branch-Mississinewa River,051201030604,6,9,11.7,13.5356290174,372.8,412.4,821.8,Cover Crop,,
Mississinewa Lake-Mississinewa River,051201030605,25,27,92.6,93.5,321,359,716,Cover Crop,,
Town of Peoria-Mississinewa River,051201030606,2,4,219,222.72,415,519,1037,Cover Crop,,
Headwaters Blue River,051201040101,46,84,420.6,561.799173554,1613.89254992,1873.00348869,3745.89589004,Cover Crop,,
Mud Run-Blue River,051201040102,6,21,126.7,170.524311295,571.705114108,633.387634944,1265.72506354,Cover Crop,,
Thorn Creek-Blue River,051201040103,27,28,740.634090909,740.734090909,1773,2079,4156,Cover Crop,,
Blue Babe Branch-Blue River,051201040104,2,13,130.2,156.909963269,689.988080135,1008.43777345,2017.874413,Cover Crop,,
Berward Ditch-Eel River,051201040201,11,28,572.2,671.2,701.158413941,987.15195873,1970.29203638,Cover Crop,,
Johnson Drain-Eel River,051201040202,1,7,0.0367309458219,13.3367309458,28.8906085547,40.9242694134,81.8414917621,Heavy Use Area Protection,,
Krider Ditch-Eel River,051201040203,6,19,235.8,310.164830119,721.667744092,855.113787997,1710.87466937,Cover Crop,,
Solon Ditch-Eel river,051201040204,8,9,93.7,93.8520890725,244.580801336,275.632982086,553.272295074,Cover Crop,,
Emerick Branch-Gangwer Ditch,051201040205,19,39,458.1,485.1,1434.43014795,1626.42467649,3249.48568129,Cover Crop,,
Black Lake-Spring Creek,051201040301,39,52,532.2,549.8,1784.86286082,1993.47183781,3984.94581555,Cover Crop,,
Shoenauer Ditch-Spring Creek,051201040302,27,45,313.513774105,381.013774105,1025.4452502,1125.97447595,2255.93285067,Cover Crop,,
Headwaters Sugar Creek,051201040303,9,9,215.2,215.2,502,587,1172,Cover Crop,,
County Farm Ditch-Eel River,051201040304,42,45,935.8,940.5,2444.24234681,2788.93032263,5581.85138395,Cover Crop,,
Mishler Ditch-Eel River,051201040401,34,46,802.160697888,849.256336088,2170.6943886,2361.89448625,4731.02461264,Cover Crop,,
Hurricane Creek-Eel River,051201040402,11,11,346.9,346.9,796,926,1852,Cover Crop,,
Plunge Creek-Eel River,051201040403,8,13,426.9,473.4,1052.38249202,1102.61551398,2215.81071781,"Residue and Tillage Management, No Till",,
Simonton Creek-Eel River,051201040404,3,16,14.7,53.2966023875,554.25667413,571.772234855,1140.55611351,Grassed Waterway,,
Pony Creek,051201040405,14,26,173.531083563,187.305693297,862.1,947.1,1898,Cover Crop,,
Nelson Creek-Clear Creek,051201040406,9,16,186.1,190.7,410.959948208,437.357957953,875.59974681,Cover Crop,,
Swank Creek-Eel River,051201040407,0,1,0,3.6,8,12,24,N/a,,
Silver Creek,051201040501,29,46,1021.8,1146.2,1859.02912329,2102.82384498,4219.04219403,Cover Crop,,
Otter Creek-Eel River,051201040502,14,23,277,290.5,945.009496138,1136.7751178,2269.5153223,Cover Crop,,
Beargrass Creek,051201040503,5,16,528.7,537.656565657,1325.23916541,1535.2731605,3067.15313234,Cover Crop,,
Bolley Ditch,051201040504,15,22,332.9,352.2,662.014212671,783.736569557,1566.42132775,Cover Crop,,
Squirrel Creek,051201040505,10,33,545.83,626.93,1864.110347,2155.97594305,4311.64041694,Cover Crop,,
Sharp Ditch-Paw Paw Creek,051201040506,25,30,108.713774105,116.643709826,579.9,633.9,1269.7,Early Successional Habitat Development-Mgt,,
Bachelor Creek-Paw Paw Creek,051201040507,0,5,0,1.87821395776,352.7,358.7,717.6,N/a,,
Oren Ditch-Paw Paw Creek,051201040508,0,6,0,4,117,109,218,N/a,,
Town of Roann-Eel River,051201040509,1,7,78.01,91.9317630854,243.739165408,285.873160504,572.753132345,Cover Crop,,
Flowers Creek-Eel River,051201040601,5,9,430.84,453.24,974.077357395,1179.26222226,2359.40976113,Cover Crop,,
Little Weesau Creek-Weesau Creek,051201040602,17,32,447.67,481.57,1450.76813564,1666.44032597,3337.3571138,Cover Crop,,
Washonis Creek-Eel River,051201040603,33,68,986.42,1082.32,4394.93215583,4872.11734145,9697.1053573,Cover Crop,,
East Branch Twelvemile Creek,051201040701,18,34,534.36,553.36,1108.16663062,1358.42366615,2710.03929079,Cover Crop,,
West Branch Twelvemile Creek,051201040702,3,5,115.2,154.2,196.239791683,268.85352645,538.519022058,Cover Crop,,
Twelvemile Creek,051201040703,4,5,58.6,64.1,88.6834758436,113.728309125,224.452155447,Cover Crop,,
Town of Hoover-Eel River,051201040704,0,12,0,11.6,1163.87225327,1166.50522627,2329.8915108,N/a,,
Mud Branch-Eel River,051201040705,8,13,92.4,108.6,205.885303739,255.060447909,511.044863832,Early Successional Habitat Development-Mgt,,
Headwaters Crooked Creek,051201050101,8,12,111.96,114.26,308.460809997,468.067921941,896.124412225,CREP CP 21 Filter Strips (ft and acres),,
Miller Ditch-Crooked Creek,051201050102,1,7,24.5,38,311.748820175,457.867928583,912.727878207,Cover Crop,,
Galbreath Ditch-Crooked Creek,051201050103,2,8,9.8,11.4,220.757280717,297.178731228,582.65447756,CREP CP 21 Filter Strips (ft and acres),,
Grants Run-Wabash River,051201050104,0,18,0,44.9,752.193110247,834.50101688,1667.12408375,N/a,,
Toney Ditch-Rock Creek,051201050201,16,19,634.4,637.4,785.769889714,1040.85548406,2079.6959971,Cover Crop,,
Little Rock Creek,051201050202,19,19,712.8,712.8,974,1263,2525,Cover Crop,,
Widow Creek-Rock Creek,051201050203,4,4,169,169,347,420,840,"Residue and Tillage Management, No Till",,
Burnetts Creek,051201050204,0,3,0,13.6,20.67030229,23.3692910213,46.6234642213,N/a,,
Ryan Appleton Ditch-Rock Creek,051201050205,3,8,59.53,83.53,422.524682,599.479733357,1178.93452261,Cover Crop,,
Keeps Creek-Wabash River,051201050206,10,28,81.26,121.46,494.726271829,612.738395616,1217.72670326,Early Successional Habitat Development-Mgt,,
Headwaters Rattlesnake Creek,051201050301,0,4,0,11.1892561983,247.269591275,310.192285402,611.578409155,N/a,,
Hickory Grove Church-Rattlesnake Creek,051201050302,1,5,3.2,11.451882461,390.815209353,557.924728477,1109.85643119,Conservation Cover,,
Pleasant Run-Wabash River,051201050303,3,19,44.9,72.9865013774,354.42998263,439.234037797,874.371378564,Cover Crop,,
Copper Creek-Deer Creek,051201050401,12,14,248.58,249.68,882.486779227,1071.063536,2141.22551358,CREP CP 21 Filter Strips (ft and acres),,
Wise Grinslade Ditch-Deer Creek,051201050402,14,27,230.313774105,252.413774105,1565.44177369,1970.35831877,3930.80413451,Cover Crop,,
 Matthew Anaker Ditch-South fork Deer Creek,051201050403,1,2,2.7,20.09,62,90,179,CREP CP 21 Filter Strips (ft and acres),,
Manson Kingery Ditch-South Fork deer Creek,051201050404,4,9,234.1,239.68,502.1,618.1,1233.1,Cover Crop,,
Russell Ditch-Deer Creek,051201050405,5,14,164.6,172.4,683.461167401,753.901580154,1507.89267203,Cover Crop,,
Henry Gilbert Ditch-Little Deer Creek,051201050501,9,17,252.058446296,257.390498637,610.815209353,784.924728477,1559.65643119,Cover Crop,,
McClosky Ditch,051201050502,3,4,80.4,80.5,205,295,575,Cover Crop,,
Little Deer Creek,051201050503,7,14,450.632149499,461.528568232,663.766677823,859.050156259,1715.07204748,Cover Crop,,
Paint Creek,051201050504,2,6,76.2,78.5964187328,591,388,929,Cover Crop,,
Headwaters Bachelor Run,051201050505,0,8,0,4.60348943985,327.815209353,325.924728477,649.856431186,N/a,,
Kuns Ditch-Bachelor Run,051201050506,4,4,63.4,63.4,103,131,259,Cover Crop,,
Monson Ditch-Deer Creek,051201050507,4,11,207.835626714,230.530677219,536.272034962,630.962661731,1260.09713074,Cover Crop,,
Robinson Branch-Deer Creek,051201050508,12,17,568.2,581.22,1109,1384,2765,Cover Crop,,
Little Sugar Creek-Sugar Creek,051201050601,3,7,374.8,376.1,588,748,1491,Cover Crop,,
Bowen Ditch-Wabash River,051201050602,9,20,365.420661157,402.28953168,737.74769637,1312.97266886,5491.76634965,Cover Crop,,
Harrison Creek-Wabash River,051201050603,14,14,159.4,159.4,252,323,645,"Residue and Tillage Management, No Till",,
Cedar Lake Branch-Elder Ditch,051201060101,34,41,611.5,616.083448118,5022.79521904,5770.46592745,11478.9586844,Cover Crop,,
Ridinger Lake-Grassy Creek,051201060102,9,19,232.19,324.39,865.685515719,1067.77587174,2113.95021751,Cover Crop,,
Smalley Lake-Tippecanoe River,051201060103,49,86,438.117929293,520.489393939,1979.65728736,2269.36617089,4533.07070686,Cover Crop,,
Big Barbee Lake-Grassy Creek,051201060104,5,12,234.3,278.002272727,418.434431914,472.340413258,947.812267043,Cover Crop,,
