HUC Name,HUC Code,Inst_BMP,Active_BMP,Inst_Ac,Active_Ac,Sediment,Phosphorus,Nitrogen,Most Frequent BMP,x,y
City of Decatur-St Marys River,041000040408,0,12,0,37,11,12,25,N/a,,
Holthouse Ditch,041000040501,5,17,9.,63,11,31,20,Conservation Cover,,
Weber Ditche-St Marys River,041000040502,1,2,1.,2.,19,19,39,Grassed Waterway,,
Nicklesen Creek,041000040503,14,19,40,41,44,61,12,Grade Stabilization Structure,,
Buhlman Ditch-St Marys River,041000040504,14,17,23,28,11,11,22,Conservation Cover,,
Houk Ditch,041000040601,4,4,90,90,10,13,27,Cover Crop,,
Simmerman Ditch-St Marys River,041000040602,5,8,30,30,44,68,17,"Residue and Tillage Management, No-Till",,
Fairfield Ditch,041000040603,8,9,31,32,58,72,14,"Residue and Tillage Management, No-Till",,
Snyder Ditch-St Marys River,041000040604,17,17,23,23,42,52,10,"Residue and Tillage Management, No-Till",,
Sly Run Creek,041000040605,0,0,0,0,0,0,0,N/a,,
Junk Ditch-St Marys River,041000040606,0,0,0,0,0,0,0,N/a,,
Trier Ditch,041000050101,0,0,0,0,0,0,0,N/a,,
Bullerman Ditch-Maumee River,041000050102,0,0,0,0,0,0,0,N/a,,
Sixmile Creek-Maumee River,041000050103,34,34,93,93,11,15,31,Cover Crop,,
Black Creek,041000050104,0,1,0,0.,0,24,11,N/a,,
Bottern Ditch-Maumee River,041000050105,1,1,51,51,53,73,14,Cover Crop,,
Marsh Ditch-Maumee River,041000050106,2,2,42,42,46,63,12,Cover Crop,,
Zuber Cutoff,041000050201,1,1,52,52,55,75,15,Cover Crop,,
North Chaney Ditch-Maumee River,041000050202,0,0,0,0,0,0,0,N/a,,
Marie DeLarme Creek,041000050203,12,16,43,43,18,19,38,"Residue and Tillage Management, No-Till",,
Gordon Creek,041000050204,1,1,29,29,15,16,32,"Residue and Tillage Management, No-Till",,
Upper Blue Creek,041000071002,0,0,0,0,0,0,0,N/a,,
Headwaters Flatrock Creek,041000071201,0,7,0,15,22,32,64,N/a,,
Headwaters Hoffman Creek,041000071202,0,2,0,2.,9.,10,20,N/a,,
Bohnke Ditch-Hoffman Creek,041000071203,5,5,16,16,18,24,49,Cover Crop,,
Brown Ditch-Flatrock Creek,041000071204,0,0,0,0,0,0,0,N/a,,
Wildcat Creek-Flatrock Creek,041000071205,1,1,15,15,14,20,40,Cover Crop,,
Dismal Creek,050800011001,2,4,24,25,37,47,95,Cover Crop,,
Kraut Creek,050800011002,0,0,0,0,0,0,0,N/a,,
Headwaters Greenville Creek,050800011004,2,2,3.,3.,8.,11,22,Conservation Cover,,
Jordan Creek-Martindale Creek,050800030102,6,8,72,75,22,26,52,Prescribed Grazing,,
Little Creek-Whitewater River,050800030104,2,8,0.,6.,21,20,40,Fence,,
Little Mud Creek-Mud Creek,050800030201,0,5,0,4.,41,43,87,N/a,,
Copy Run-Greens Fork,050800030202,8,14,11,15,98,88,17,Riparian Forest Buffer,,
Stoney Creek-Wabash River,051201010102,7,7,17,17,30,44,88,Cover Crop,,
Toti Creek-Wabash River,051201010103,0,0,0,0,0,0,0,N/a,,
Wilson Creek-Limberlost Creek,051201010401,4,4,10,10,25,34,69,Filter Strip,,
Shirk Votaw Ditch-Camp Run,051201010402,5,5,28,28,45,67,13,Cover Crop,,
Bear Creek,051201010403,3,3,84,84,16,22,45,Cover Crop,,
Oakley Ditch-Limberlost Creek,051201010404,1,1,2.,2.,6.,9.,19,Early Successional Habitat Development/Management,,
Votaw Ditch-Loblolly Creek,051201010405,7,18,18,30,50,72,14,"Residue and Tillage Management, No-Till",,
Hickory Branch-Wabash River,051201010501,2,2,75,75,78,10,21,Cover Crop,,
Brewster Ditch-Wabash River,051201010502,1,8,2.,64,50,69,13,Wetland Restoration,,
Jamstutz Ditch-Wabash River,051201010601,11,16,28,39,35,50,10,Cover Crop,,
Threemile Creek-Wabash River,051201010602,9,11,49,49,53,73,14,Cover Crop,,
Kunkel Lake-Sixmile Creek,051201010603,7,7,23,23,27,37,74,Cover Crop,,
Miller Ditch-Sixmile Creek,051201010604,31,34,92,11,10,15,30,Cover Crop,,
Headwaters Rock Creek,051201010701,4,8,23,24,25,36,73,Cover Crop,,
Mossburg Ditch,051201010702,2,2,25,25,22,31,63,Cover Crop,,
Stites Ditch-Rock Creek,051201010703,1,3,1.,8.,22,24,48,Grassed Waterway,,
Elkenberry Ditch-Rock Creek,051201010704,3,6,76,95,11,16,32,Cover Crop,,
Johns Creek-Wabash River,051201010801,11,17,92,11,25,31,61,Cover Crop,,
Dowty Ditch-Wabash River,051201010802,14,19,23,24,39,50,10,Cover Crop,,
Bender Ditch-Wabash River,051201010803,0,4,0,14,37,47,93,N/a,,
Griffin Ditch-Wabash River,051201010804,0,0,0,0,0,0,0,N/a,,
Maple Creek-Eightmile Creek,051201010901,6,8,21,21,24,34,69,Cover Crop,,
Moser Lake-Eightmile Creek,051201010902,6,10,15,15,18,25,51,Cover Crop,,
Big Creek-Eightmile Creek,051201010903,2,4,15,15,19,26,52,Cover Crop,,
Pleasant Run Ditch-Eightmile Creek,051201010904,2,2,22,22,28,37,75,Prescribed Grazing,,
Seeger Ditch,051201011001,3,5,37,49,66,89,17,Cover Crop,,
Beal Taylor Ditch-Aboite Creek,051201011002,8,8,90,90,39,42,85,Cover Crop,,
Robinson Creek,051201011003,0,0,0,0,0,0,0,N/a,,
Graham McCulloch Ditch #1-Little River,051201011004,0,2,0,20,21,27,53,N/a,,
Little Indian Creek-Aboite Creek,051201011005,10,10,23,23,57,66,13,Cover Crop,,
Cow Creek-Little River,051201011006,0,0,0,0,0,0,0,N/a,,
Flat Creek,051201011101,9,11,17,18,29,38,76,"Residue and Tillage Management, No-Till",,
Bull Creek-Little River,051201011102,7,7,20,20,30,38,77,Cover Crop,,
Mud Creek-Little River,051201011103,5,5,18,18,34,42,84,"Residue and Tillage Management, No-Till",,
Flint Creek-Little River,051201011104,5,5,46,46,46,60,12,CREP CP 31 Bottom Timber Establishment on Wetland,,
West Branch Clear Creek,051201011201,2,2,15,15,32,38,77,Cover Crop,,
Headwaters Clear Creek,051201011202,4,10,55,82,29,29,58,Cover Crop,,
Huntington Lake-Wabash River,051201011301,0,0,0,0,0,0,0,N/a,,
Silver Creek,051201011302,10,16,19,19,29,37,75,Prescribed Grazing,,
Town of Andrews-Wabash River,051201011303,0,6,0,12,19,21,42,N/a,,
Loon Creek,051201011304,3,3,63,63,68,93,18,Prescribed Grazing,,
Hanging Rock-Wabash River,051201011305,0,4,0,27,27,34,69,N/a,,
Enyeart Creek-Wabash River,051201011401,21,30,35,37,11,13,26,"Residue and Tillage Management, No-Till",,
Stone Creek-Treaty Creek,051201011402,46,49,12,12,26,31,62,"Residue and Tillage Management, No-Till",,
Burr Creek-Wabash River,051201011403,14,14,24,24,74,84,16,Cover Crop,,
Ridgeway Creek,051201011404,0,3,0,8.,37,37,75,N/a,,
Kentner Creek,051201011405,14,19,43,44,10,11,23,"Residue and Tillage Management, No-Till",,
Gilbert Branch-Wabash River,051201011406,13,14,26,26,69,80,16,Cover Crop,,
Daniel Creek-Wabash River,051201011407,10,26,27,31,91,10,21,Cover Crop,,
Headwaters Pipe Creek,051201011501,0,0,0,0,0,0,0,N/a,,
Stony Creek-Pipe Creek,051201011502,2,2,2.,2.,6.,8.,17,Conservation Cover,,
Turkey Creek-Little Pipe Creek,051201011503,1,1,0.,0.,16,16,32,Grade Stabilization Structure,,
Honey Creek,051201011504,4,8,3.,6.,18,23,46,Conservation Cover,,
Walnut Creek-Pipe Creek,051201011505,1,4,2.,15,42,42,85,Grassed Waterway,,
Negro Creek-Pipe Creek,051201011506,2,2,48,48,10,12,25,Cover Crop,,
Bear Creek-Pipe Creek,051201011507,4,13,14,15,40,46,92,Cover Crop,,
Salem Ditch-Little Pipe Creek,051201011601,2,3,11,11,26,30,61,Cover Crop,,
Prairie Ditch-Wabash River,051201011602,21,26,52,54,12,14,29,Cover Crop,,
Lowe Ditch-Wabash River,051201011603,9,31,25,26,13,14,28,Cover Crop,,
McLaughlin Ditch-Salamonie River,051201020101,9,11,22,23,56,78,15,Cover Crop,,
Little Salamonie River,051201020102,0,0,0,0,0,0,0,N/a,,
Berger Ditch-Salamonie River,051201020103,6,6,36,36,56,84,16,Cover Crop,,
Sipe Ditch,051201020104,3,3,10,10,25,34,69,"Residue and Tillage Management, No-Till",,
Miller Ditch-Salamonie River,051201020105,0,0,0,0,0,0,0,N/a,,
Cowboy Run-Brooks Creek,051201020106,0,0,0,0,0,0,0,N/a,,
Mud Creek-Brooks Creek,051201020107,0,0,0,0,0,0,0,N/a,,
Glenn Miller Ditch-Salamonie River,051201020108,24,24,10,10,20,29,58,"Residue and Tillage Management, No-Till",,
Twomile Ditch-Salamonie River,051201020201,0,0,0,0,0,0,0,N/a,,
Beaver Creek-Salamonie River,051201020202,0,0,0,0,0,0,0,N/a,,
Stoney Creek-Salamonie River,051201020203,4,4,15,15,25,37,74,Cover Crop,,
Scuffle Creek-Salamonie River,051201020301,5,13,26,27,45,57,11,Cover Crop,,
Prairie Creek,051201020302,0,1,0,11,17,25,50,N/a,,
Shadle Drain-Salamonie River,051201020303,2,2,50,50,61,84,16,Cover Crop,,
Baker Ditch-Black Creek,051201020304,0,0,0,0,0,0,0,N/a,,
Little Black Creek-Black Creek,051201020305,0,0,0,0,0,0,0,N/a,,
Morrison Ditch-Salamonie River,051201020306,0,1,0,2.,4.,5.,11,N/a,,
Weasel Creek-Salamonie River,051201020401,1,2,30,30,33,46,92,Cover Crop,,
Richland Creek,051201020402,0,1,0,2.,37,37,75,N/a,,
Majencia Creek,051201020403,0,0,0,0,0,0,0,N/a,,
Rush Creek,051201020404,0,4,0,5.,30,30,60,N/a,,
Salamonie Reservoir-Salamonie River,051201020405,0,0,0,0,0,0,0,N/a,,
Indian Creek-Salamonie River,051201020406,0,0,0,0,0,0,0,N/a,,
Little Mississinewa River,051201030101,3,3,18,18,22,29,59,Cover Crop,,
Gray Branch-Mississinewa River,051201030102,0,0,0,0,0,0,0,N/a,,
Jordan Creek-Mississinewa River,051201030103,10,31,12,14,26,32,65,Conservation Cover,,
Porter Creek-Mississinewa River,051201030104,2,15,34,44,75,96,19,Cover Crop,,
Mud Creek-Mississinewa River,051201030105,8,12,12,18,80,84,16,Grassed Waterway,,
Days Creek,051201030201,0,0,0,0,0,0,0,N/a,,
Bear Creek,051201030202,4,6,6.,9.,86,99,20,Grassed Waterway,,
Fetid Creek-Mississinewa River,051201030203,8,15,22,29,43,48,98,Grassed Waterway,,
Bush Creek,051201030204,4,5,7.,10,23,30,61,Conservation Cover,,
Redkey Run-Halfway Creek,051201030205,6,6,20,20,30,43,86,Cover Crop,,
Platt Nibarger Ditch-Mississinewa River,051201030206,3,6,5.,6.,91,94,20,Conservation Cover,,
Little Lick Creek-Big Lick Creek,051201030301,0,0,0,0,0,0,0,N/a,,
Townsand Lucas Ditch-Big Lick Creek,051201030302,3,7,12,24,51,73,14,Prescribed Grazing,,
Campbell Creek,051201030401,4,5,23,23,40,50,99,Prescribed Grazing,,
Rees Ditch-Mississinewa River,051201030402,2,2,3.,3.,7.,10,20,Early Successional Habitat Development/Management,,
Studebaker Ditch-Pike Creek,051201030403,0,0,0,0,0,0,0,N/a,,
Holden Ditch-Mississinewa River,051201030404,0,0,0,0,0,0,0,N/a,,
Hoppas Ditch-Mississinewa River,051201030501,0,0,0,0,0,0,0,N/a,,
Lake Branch-Mississinewa River,051201030502,0,0,0,0,0,0,0,N/a,,
Barren Creek,051201030503,0,0,0,0,0,0,0,N/a,,
Back Creek,051201030504,0,0,0,0,0,0,0,N/a,,
Little Walnut Creek-Walnut Creek,051201030505,0,0,0,0,0,0,0,N/a,,
Walnut Creek,051201030506,0,0,0,0,0,0,0,N/a,,
Little Deer Creek-Deer Creek,051201030507,0,0,0,0,0,0,0,N/a,,
Deer Creek,051201030508,0,0,0,0,0,0,0,N/a,,
Lugar Creek,051201030509,0,0,0,0,0,0,0,N/a,,
Branch Creek-Mississinewa River,051201030510,1,2,2,2.,31,32,66,Water and Sediment Control Basin,,
Boots Creek-Mississinewa River,051201030511,0,0,0,0,0,0,0,N/a,,
Hummel Creek-Mississinewa River,051201030601,0,0,0,0,0,0,0,N/a,,
Metocinah Creek,051201030602,15,16,42,42,88,10,20,Cover Crop,,
Grant Creek-Mississinewa River,051201030603,34,37,61,61,12,14,29,Cover Crop,,
Forked Branch-Mississinewa River,051201030604,1,2,0.,1.,24,27,54,Grassed Waterway,,
Mississinewa Lake-Mississinewa River,051201030605,3,5,91,10,30,35,70,Cover Crop,,
Town of Peoria-Mississinewa River,051201030606,0,3,0,13,43,53,10,N/a,,
Headwaters Blue River,051201040101,30,36,67,70,24,26,52,"Residue and Tillage Management, No-Till",,
Mud Run-Blue River,051201040102,79,81,20,20,76,81,16,"Residue and Tillage Management, No-Till",,
Thorn Creek-Blue River,051201040103,8,8,43,43,15,16,33,"Residue and Tillage Management, No-Till",,
Blue Babe Branch-Blue River,051201040104,15,28,42,45,19,23,46,"Residue and Tillage Management, No-Till",,
Berward Ditch-Eel River,051201040201,6,6,36,36,45,60,12,Cover Crop,,
Johnson Drain-Eel River,051201040202,4,4,43,43,74,92,18,Cover Crop,,
Krider Ditch-Eel River,051201040203,57,57,12,12,24,28,57,Cover Crop,,
Solon Ditch-Eel river,051201040204,28,28,27,27,10,11,22,"Residue and Tillage Management, No-Till",,
Emerick Branch-Gangwer Ditch,051201040205,29,31,85,85,20,23,47,Cover Crop,,
Black Lake-Spring Creek,051201040301,29,29,63,63,21,23,47,"Residue and Tillage Management, No-Till",,
Shoenauer Ditch-Spring Creek,051201040302,16,21,16,19,50,57,11,Cover Crop,,
Headwaters Sugar Creek,051201040303,2,2,70,70,16,19,38,Cover Crop,,
County Farm Ditch-Eel River,051201040304,7,8,15,16,40,46,93,Cover Crop,,
Mishler Ditch-Eel River,051201040401,8,8,18,18,36,41,83,Cover Crop,,
Hurricane Creek-Eel River,051201040402,2,2,11,11,20,22,44,Cover Crop,,
Plunge Creek-Eel River,051201040403,36,38,96,96,21,22,45,"Residue and Tillage Management, No-Till",,
Simonton Creek-Eel River,051201040404,25,33,65,67,12,14,29,Cover Crop,,
Pony Creek,051201040405,27,30,98,98,17,21,42,Cover Crop,,
Nelson Creek-Clear Creek,051201040406,30,37,17,18,29,34,68,Cover Crop,,
Swank Creek-Eel River,051201040407,28,29,50,50,10,11,22,"Residue and Tillage Management, No-Till",,
Silver Creek,051201040501,95,10,38,38,69,77,15,Cover Crop,,
Otter Creek-Eel River,051201040502,67,68,16,16,31,38,77,"Residue and Tillage Management, No-Till",,
Beargrass Creek,051201040503,10,10,36,36,69,84,16,"Residue and Tillage Management, No-Till",,
Bolley Ditch,051201040504,34,40,10,10,19,21,43,Cover Crop,,
Squirrel Creek,051201040505,47,53,26,26,52,63,12,Cover Crop,,
Sharp Ditch-Paw Paw Creek,051201040506,21,24,72,73,14,17,35,"Residue and Tillage Management, No-Till",,
Bachelor Creek-Paw Paw Creek,051201040507,25,27,61,61,13,15,31,Cover Crop,,
Oren Ditch-Paw Paw Creek,051201040508,18,25,15,15,28,35,70,"Residue and Tillage Management, No-Till",,
Town of Roann-Eel River,051201040509,32,39,14,14,28,34,69,Cover Crop,,
Flowers Creek-Eel River,051201040601,72,76,29,29,59,72,14,Cover Crop,,
Little Weesau Creek-Weesau Creek,051201040602,64,64,14,14,35,41,83,Cover Crop,,
Washonis Creek-Eel River,051201040603,89,91,28,28,58,71,14,Cover Crop,,
East Branch Twelvemile Creek,051201040701,18,23,69,69,12,15,31,Cover Crop,,
West Branch Twelvemile Creek,051201040702,4,10,23,32,40,56,11,Cover Crop,,
Twelvemile Creek,051201040703,10,10,20,20,46,56,11,Cover Crop,,
Town of Hoover-Eel River,051201040704,7,14,29,32,74,90,18,Cover Crop,,
Mud Branch-Eel River,051201040705,1,5,6.,20,96,10,21,Early Successional Habitat Development/Management,,
Headwaters Crooked Creek,051201050101,0,0,0,0,0,0,0,N/a,,
Miller Ditch-Crooked Creek,051201050102,6,12,29,63,81,11,22,Cover Crop,,
Galbreath Ditch-Crooked Creek,051201050103,1,7,6.,41,13,16,32,Cover Crop,,
Grants Run-Wabash River,051201050104,20,40,64,66,16,19,38,"Residue and Tillage Management, No-Till",,
Toney Ditch-Rock Creek,051201050201,8,8,63,63,64,89,17,Cover Crop,,
Little Rock Creek,051201050202,3,4,14,14,16,21,43,Cover Crop,,
Widow Creek-Rock Creek,051201050203,0,2,0,1.,3.,4.,9.,N/a,,
Burnetts Creek,051201050204,0,0,0,0,0,0,0,N/a,,
Ryan Appleton Ditch-Rock Creek,051201050205,0,1,0,4.,10,14,28,N/a,,
Keeps Creek-Wabash River,051201050206,3,7,15,15,35,41,82,Cover Crop,,
Headwaters Rattlesnake Creek,051201050301,8,9,16,16,42,55,11,Cover Crop,,
Hickory Grove Church-Rattlesnake Creek,051201050302,1,3,34,35,62,75,15,Cover Crop,,
Pleasant Run-Wabash River,051201050303,5,5,5.,5.,19,21,42,Critical Area Planting,,
Copper Creek-Deer Creek,051201050401,6,6,46,46,69,92,18,Conservation Cover,,
Wise Grinslade Ditch-Deer Creek,051201050402,1,1,0.,0.,18,18,36,Grassed Waterway,,
 Matthew Anaker Ditch-South fork Deer Creek,051201050403,1,3,35,35,51,68,13,Cover Crop,,
Manson Kingery Ditch-South Fork deer Creek,051201050404,0,5,0,1.,95,96,19,N/a,,
Russell Ditch-Deer Creek,051201050405,1,9,0.,7.,42,42,84,Grade Stabilization Structure,,
Henry Gilbert Ditch-Little Deer Creek,051201050501,12,33,14,16,29,41,82,Conservation Cover,,
McClosky Ditch,051201050502,0,1,0,0.,1,1,3,N/a,,
Little Deer Creek,051201050503,4,7,10,11,18,23,45,Cover Crop,,
Paint Creek,051201050504,9,9,22,22,33,43,86,Cover Crop,,
Headwaters Bachelor Run,051201050505,2,2,0.,0.,13,11,23,Access Road,,
Kuns Ditch-Bachelor Run,051201050506,7,7,32,32,45,59,11,Cover Crop,,
Monson Ditch-Deer Creek,051201050507,0,11,0,8,20,20,41,N/a,,
Robinson Branch-Deer Creek,051201050508,0,0,0,0,0,0,0,N/a,,
Little Sugar Creek-Sugar Creek,051201050601,0,2,0,0.,8,8,16,N/a,,
Bowen Ditch-Wabash River,051201050602,1,1,0.,0.,0.,0.,0.,Critical Area Planting,,
Harrison Creek-Wabash River,051201050603,1,1,15,15,20,27,55,Cover Crop,,
Cedar Lake Branch-Elder Ditch,051201060101,11,14,72,73,42,49,98,Cover Crop,,
Ridinger Lake-Grassy Creek,051201060102,8,10,44,47,94,10,21,Cover Crop,,
Smalley Lake-Tippecanoe River,051201060103,5,13,18,19,44,55,11,Cover Crop,,
Big Barbee Lake-Grassy Creek,051201060104,17,21,46,46,69,77,15,Cover Crop,,
Tippecanoe Lake-Tippecanoe River,051201060105,28,39,64,64,10,11,22,Cover Crop,,
McCarter Ditch-Deeds Creek,051201060201,29,34,83,88,15,17,34,Cover Crop,,
Pike Lake-Deeds Creek,051201060202,6,8,18,21,37,44,88,Cover Crop,,
Winola Lake-Eagle Creek,051201060203,57,57,10,10,19,21,42,Cover Crop,,
Eagle Creek-Walnut Creek,051201060204,23,25,93,98,15,17,34,Cover Crop,,
Ruple Ditch-Tippecanoe River,051201060205,1,1,37,37,57,63,12,CREP CP 23A Wetland Restoration - Non-floodplain,,
Adams Ditch-Trimble Creek,051201060301,18,18,69,69,10,11,22,Cover Crop,,
Pole Run Ditch-Tippecanoe River,051201060302,6,6,21,21,45,47,94,"Residue and Tillage Management, No-Till",,
Palestine Lake-Trimble Creek,051201060303,9,9,47,47,63,72,14,Cover Crop,,
Ridenour Ditch-Danner Ditch,051201060304,5,5,17,17,43,43,87,"Residue and Tillage Management, Reduced Till",,
Danner Ditch-Tippecanoe River,051201060305,9,10,39,39,91,92,18,"Residue and Tillage Management, Reduced Till",,
Shatto Ditch-Tippecanoe River,051201060401,10,10,64,64,79,91,18,Cover Crop,,
Outlet Creek,051201060402,2,3,43,58,20,21,42,Cover Crop,,
Rickle Ditch-Yellow Creek,051201060403,13,13,51,51,87,94,18,Cover Crop,,
Little Yellow Creek-Yellow Creek,051201060404,3,4,32,32,61,66,13,"Residue and Tillage Management, No-Till",,
Clarence Baker Ditch-Tippecanoe River,051201060405,1,1,20,20,24,28,57,Cover Crop,,
Redinger Ditch-Tippecanoe River,051201060406,3,3,10,10,16,17,35,Cover Crop,,
Lake 16-Chippewanuck Creek,051201060407,12,12,55,55,10,11,22,"Residue and Tillage Management, No-Till",,
Byrant Leininger Ditch-Chippenwanuck Creek,051201060408,24,26,10,10,19,20,40,Cover Crop,,
Reister Creek-Tippecanoe River,051201060409,7,7,28,28,43,47,94,Cover Crop,,
Robbin Taylor Ditch,051201060501,3,4,16,17,47,53,10,Cover Crop,,
Lake Manitou- Mill Creek,051201060502,25,25,14,14,27,28,57,"Residue and Tillage Management, No-Till",,
Smith Ditch-Mud Creek,051201060503,11,11,13,13,14,16,33,Cover Crop,,
Neff Ditch-Mud Creek,051201060504,5,5,25,25,31,35,70,Cover Crop,,
Grube Ditch-Mud Creek,051201060505,2,2,60,60,78,87,17,Cover Crop,,
Collins Ditch,051201060506,4,6,34,34,39,44,90,Cover Crop,,
Tilden Ditch-Mud Creek,051201060507,17,17,13,13,14,17,34,Cover Crop,,
Cowan Ditch-Eddy Creek,051201060508,22,22,11,11,18,19,39,Cover Crop,,
Zink Lake-Tippecanoe River,051201060509,20,20,15,15,21,23,46,Cover Crop,,
Lake Maxinkuckee,051201060601,4,4,18,18,22,24,50,Cover Crop,,
House Ditch,051201060602,1,1,23,23,8,11,23,CREP CP 23A Wetland Restoration - Non-floodplain,,
Slonaker Ditch-Tippecanoe River,051201060603,6,18,16,26,22,29,59,Cover Crop,,
Bartee Ditch-Tippecanoe River,051201060604,2,9,58,12,65,99,19,CREP CP 23A Wetland Restoration - Non-floodplain,,
Bruce Lake-Bruce Lake Outlet,051201060605,6,15,99,12,29,46,92,Conservation Cover,,
Dilts Anstis Ditch-Tippecanoe River,051201060606,4,4,26,26,90,13,26,Cover Crop,,
Quigley Marsh Ditch,051201060607,2,5,97,10,38,55,11,Cover Crop,,
Tyler Weisjahn Ditch-Tippecane Ditch,051201060608,9,9,33,33,12,17,34,Cover Crop,,
Headwaters Mill Creek,051201060701,0,0,0,0,0,0,0,N/a,,
Reed Olmstead Ditch-Mill Creek,051201060702,3,3,70,70,94,10,20,Cover Crop,,
Little Mill Creek,051201060703,5,5,27,27,26,31,62,Cover Crop,,
Wilson Ditch-Mill Creek,051201060704,2,2,83,83,84,97,19,Cover Crop,,
Prather Ditch-Mill Creek,051201060705,5,6,81,85,34,48,98,Conservation Cover,,
Walsh Ditch-Grassy Creek,051201060801,4,4,16,16,20,25,50,Cover Crop,,
Headwaters Indian Creek,051201060802,4,4,23,23,27,34,69,Cover Crop,,
Fredericks Ditch-Little Indian Creek,051201060803,0,0,0,0,0,0,0,N/a,,
Little Indian Creek,051201060804,4,6,17,17,23,30,60,Cover Crop,,
Town of Thornhope-Indian Creek,051201060805,8,9,27,27,95,13,27,Cover Crop,,
Agnew Ditch,051201060901,8,8,54,54,18,26,53,Cover Crop,,
Mud Creek,051201060902,1,7,27,39,20,28,56,Cover Crop,,
Budd Fisher Ditch-Tippecanoe River,051201060903,7,9,40,40,14,20,41,Cover Crop,,
Stout Ditch-Tippecanoe River,051201060904,3,7,21,22,77,11,22,Cover Crop,,
Scholtz Ditch,051201061001,1,18,43,75,35,50,10,Cover Crop,,
Headwaters Big Monon Ditch,051201061002,0,3,0,8.,5.,7.,15,N/a,,
Thompson Ditch-Big Monon Ditch,051201061003,7,7,20,20,74,10,21,Cover Crop,,
Lincoln Ditch-Big Monon Ditch,051201061004,11,11,13,13,52,74,15,Conservation Cover,,
Antrim Ditch,051201061005,2,2,40,40,15,21,44,Cover Crop,,
Mosley Ditch,051201061006,1,1,33,33,12,17,35,Cover Crop,,
Stein Ditch-Big Monon Ditch,051201061007,3,3,79,79,29,42,85,Cover Crop,,
Big Monon Creek-Big Monon Ditch,051201061008,4,4,81,81,28,42,85,Filter Strip,,
Kesler Ditch-McKillip Ditch,051201061101,1,2,0.,17,15,19,40,Heavy Use Area Protection,,
Hill Ditch,051201061102,0,0,0,0,0,0,0,N/a,,
McKillip Ditch,051201061103,0,0,0,0,0,0,0,N/a,,
Brown Ditch-Big Monon Creek,051201061104,0,0,0,0,0,0,0,N/a,,
Weltzin Ditch-Tippecanoe River,051201061201,3,4,42,56,29,43,87,Cover Crop,,
Harp Ditch-Tippecanoe River,051201061202,0,0,0,0,0,0,0,N/a,,
Hollingsworth Ditch-Hoagland Ditcj,051201061203,6,6,72,72,72,98,19,Cover Crop,,
Winters Ditch-Hoagland Ditch,051201061204,0,0,0,0,0,0,0,N/a,,
Hoagland Bay-Hoagland Ditch,051201061205,0,0,0,0,0,0,0,N/a,,
Keans Creek,051201061206,0,0,0,0,0,0,0,N/a,,
Headwaters Honey Creek,051201061207,0,0,0,0,0,0,0,N/a,,
Lake Shafer-Tippecanoe River,051201061208,5,6,16,17,10,14,28,Cover Crop,,
Pike Creek-Tippecanoe River,051201061301,4,4,21,21,11,15,31,Cover Crop,,
Bell Ditch-Big Creek,051201061302,0,0,0,0,0,0,0,N/a,,
Deiter Ditch-Big Creek,051201061303,0,0,0,0,0,0,0,N/a,,
Lake Freeman-Tippecanoe River,051201061304,0,0,0,0,0,0,0,N/a,,
