HUC Name,HUC Code,Installed BMPs,Active BMPs,Installed Acres,Active Acres,Sediment Reduction (tons/yr),Phosphorus Reduction (lbs./yr),Nitrogen Reduction (lbs./yr),Most Frequent BMP,x,y
Trier Ditch,041000050101,6,30,263.62,308.52,720.00233816,859.795597935,1725.65050599,Cover Crop,,
Bullerman Ditch-Maumee River,041000050102,4,13,130.7,148.8,151.798580484,210.669241107,422.95711498,Cover Crop,,
Sixmile Creek-Maumee River,041000050103,18,32,580.24,601.94,737.955466932,1006.24687354,2006.69462756,Cover Crop,,
Black Creek,041000050104,41,60,1489.25,1525.95,2299.26083749,3025.01367872,6108.22326688,Forage and Biomass Planting,,
Bottern Ditch-Maumee River,041000050105,15,28,409.8,626.86446281,852.050242674,1168.9289099,2332.67149342,Cover Crop,,
Marsh Ditch-Maumee River,041000050106,22,23,657.55,657.85,1086.56446226,1371.91449108,2742.89299931,"Residue and Tillage Management, No Till",,
Zuber Cutoff,041000050201,0,0,0,0,0,0,0,N/a,,
North Chaney Ditch-Maumee River,041000050202,11,12,352.4,372.3,408.749931017,560.019309669,1118.94487852,Cover Crop,,
Marie DeLarme Creek,041000050203,58,77,2303,2362.24504132,3569.29911736,4556.35286544,9106.05715615,Cover Crop,,
Gordon Creek,041000050204,0,0,0,0,0,0,0,N/a,,
Upper Blue Creek,041000071002,0,0,0,0,0,0,0,N/a,,
Headwaters Flatrock Creek,041000071201,10,15,646.84,651.804508724,544.89509429,801.73854545,1601.62249081,Cover Crop,,
Headwaters Hoffman Creek,041000071202,13,21,704.63,714.13,820.75718183,1116.99779926,2231.86483475,Forage and Biomass Planting,,
Bohnke Ditch-Hoffman Creek,041000071203,7,14,410.87,423.77,498.52232982,674.32851799,1348.46638167,Cover Crop,,
Brown Ditch-Flatrock Creek,041000071204,26,33,874.5,881.21671258,1282.3806757,1643.32181277,3286.13000057,"Residue and Tillage Management, No Till",,
Wildcat Creek-Flatrock Creek,041000071205,7,8,292.76,292.96,342.146937599,458.997325687,916.148244251,Cover Crop,,
Dismal Creek,050800011001,0,2,0,1.4,114,114,228,N/a,,
Kraut Creek,050800011002,0,0,0,0,0,0,0,N/a,,
Headwaters Greenville Creek,050800011004,4,10,120.7,135.829614325,191.94590283,252.25714217,503.17491686,Cover Crop,,
Jordan Creek-Martindale Creek,050800030102,6,44,122.2,166.095270891,1318.17443017,1366.42080724,2738.52466392,Cover Crop,,
Little Creek-Whitewater River,050800030104,48,94,724.7,818.713682277,2617.13029859,2894.19086022,5785.6450845,Cover Crop,,
Little Mud Creek-Mud Creek,050800030201,0,7,0,7.2080348944,707,773,1547,N/a,,
Copy Run-Greens Fork,050800030202,11,49,287.3,323.796395776,2575.56460013,2612.76602006,5232.88004767,Cover Crop,,
Stoney Creek-Wabash River,051201010102,1,5,78.7,81.1,188.196746723,256.58490219,513.695739314,Cover Crop,,
Toti Creek-Wabash River,051201010103,0,0,0,0,0,0,0,N/a,,
Wilson Creek-Limberlost Creek,051201010401,0,2,0,2.1,9,11,23,N/a,,
Shirk Votaw Ditch-Camp Run,051201010402,37,42,1178.4,1254.1,1796.41834263,2560.32879657,5115.74721543,Cover Crop,,
Bear Creek,051201010403,1,13,50,62.6539990817,648.891599077,802.744980098,1605.16687833,Cover Crop,,
Oakley Ditch-Limberlost Creek,051201010404,2,6,1.2,9.1,60.6922083565,92.7259130002,186.441334179,CREP CP 21 Filter Strips,,
Votaw Ditch-Loblolly Creek,051201010405,13,32,672.1,888.26,1090.63747996,1563.89161114,3120.21895277,Cover Crop,,
Hickory Branch-Wabash River,051201010501,0,2,0,10.37,51,77,152,N/a,,
Brewster Ditch-Wabash River,051201010502,9,33,269.6,396.660284665,466.083606578,665.414943122,1330.8173884,Cover Crop,,
Jamstutz Ditch-Wabash River,051201010601,38,72,786.28,1073.69866391,1085.77683149,1590.27124397,3170.52879857,Cover Crop,,
Threemile Creek-Wabash River,051201010602,6,11,278.3,307.27,548.953268102,800.1184758,1596.37661365,Cover Crop,,
Kunkel Lake-Sixmile Creek,051201010603,6,10,184.3,207.4,242.398505442,338.742530587,676.791317416,Cover Crop,,
Miller Ditch-Sixmile Creek,051201010604,35,59,1021.4,1379.16,1594.6187221,2362.41750676,4715.95480279,Cover Crop,,
Headwaters Rock Creek,051201010701,6,19,270.9,276,394.442891095,530.322522105,1041.72805353,Cover Crop,,
Mossburg Ditch,051201010702,4,6,109.65,112.25,196.917119868,263.572077321,524.83371115,"Residue and Tillage Management, No Till",,
Stites Ditch-Rock Creek,051201010703,29,37,1183.1,1240.81606979,1824.80554247,4092.64332182,17057.4830012,"Residue and Tillage Management, No Till",,
Elkenberry Ditch-Rock Creek,051201010704,5,13,210.1,234.12,621.340151008,949.910344074,1896.17422552,Cover Crop,,
Johns Creek-Wabash River,051201010801,24,31,870.2,874.8,1045.55981312,1424.68906836,2836.49099315,Cover Crop,,
Dowty Ditch-Wabash River,051201010802,21,31,299.44,339.84,508.955507799,664.137051675,1328.12544208,Cover Crop,,
Bender Ditch-Wabash River,051201010803,10,13,124.7,188.76,363.495391024,522.707774012,1042.69554158,Conservation Cover,,
Griffin Ditch-Wabash River,051201010804,8,9,147.9,152.29,188.762333184,265.524942742,529.570069572,Cover Crop,,
Maple Creek-Eightmile Creek,051201010901,10,14,240.6,246,385.479369817,546.390308516,1091.00036834,Cover Crop,,
Moser Lake-Eightmile Creek,051201010902,4,5,191.2,192.18,230.28001146,321.51113865,641.4043245,Cover Crop,,
Big Creek-Eightmile Creek,051201010903,12,32,343.5,388.740082645,743.71326447,963.800285846,1926.48440861,Cover Crop,,
Pleasant Run Ditch-Eightmile Creek,051201010904,14,16,287.2,290.740174472,985.475730049,1213.86565506,2425.76905983,Cover Crop,,
Seeger Ditch,051201011001,7,17,167.9,178.319283747,596.932216371,667.757905689,1314.0103287,Cover Crop,,
Beal Taylor Ditch-Aboite Creek,051201011002,0,8,0,16.6160697888,204.538035401,212.060027543,423.10480681,N/a,,
Robinson Creek,051201011003,0,0,0,0,0,0,0,N/a,,
Graham McCulloch Ditch #1-Little River,051201011004,7,9,105.5,125.5,179.391106806,234.233150858,467.110165233,Cover Crop,,
Little Indian Creek-Aboite Creek,051201011005,5,6,37,39.4,104.615569609,122.337468694,243.612793984,Cover Crop,,
Cow Creek-Little River,051201011006,30,45,309.61,359.3,1308.39248769,1744.429986,3482.02511397,Cover Crop,,
Flat Creek,051201011101,2,7,55.99,69.65,273.243937648,375.552888196,741.998320203,CREP CP 21 Filter Strips,,
Bull Creek-Little River,051201011102,5,24,149.6,206.03,736.514436679,1055.89211283,2104.44325788,Cover Crop,,
Mud Creek-Little River,051201011103,2,28,14.61,128.758209366,883.206413386,1260.90630485,2456.64824685,CREP CP 21 Filter Strips,,
Flint Creek-Little River,051201011104,0,16,0,73.6725114784,618.610703651,656.684154038,1311.35023349,N/a,,
West Branch Clear Creek,051201011201,0,21,0,36.97,493.863329312,657.183179392,1309.49719897,N/a,,
Headwaters Clear Creek,051201011202,15,73,228.65,515.227084481,2154.749939,2504.24688917,4717.26606097,CREP CP 22 Riparian Buffer,,
Huntington Lake-Wabash River,051201011301,0,0,0,0,0,0,0,N/a,,
Silver Creek,051201011302,1,24,1.54,47.8671166208,710.731335253,966.902597836,1929.697052,CREP CP 31 Bottom Timber Establishment on Wetland,,
Town of Andrews-Wabash River,051201011303,9,21,93.13,121.47,197.930668252,275.093218989,545.948713578,CREP CP 22 Riparian Buffer,,
Loon Creek,051201011304,28,44,214.37,300.079380165,622.909627581,899.610700314,1794.35404495,Upland Wildlife Habitat Management,,
Hanging Rock-Wabash River,051201011305,2,13,107.83,151.08,267.426031999,389.259991969,777.003515303,CREP CP 21 Filter Strips,,
Enyeart Creek-Wabash River,051201011401,8,23,98.84,149.353333333,892.946107369,1090.23353709,2174.99400073,Cover Crop,,
Stone Creek-Treaty Creek,051201011402,15,31,262,308.778089991,1450.02131249,1746.19584123,3630.56412846,Cover Crop,,
Burr Creek-Wabash River,051201011403,15,44,331,428.3,3190.51677734,3780.74336715,7515.45958658,Cover Crop,,
Ridgeway Creek,051201011404,0,5,0,17.2535353535,384.020797828,386.599142119,773.189484724,N/a,,
Kentner Creek,051201011405,0,33,0,110.140165289,999.095804196,1087.13016245,2155.21840455,N/a,,
Gilbert Branch-Wabash River,051201011406,0,4,0,4.2,327.2,327.2,659.4,N/a,,
Daniel Creek-Wabash River,051201011407,6,24,233.44,304.955977961,1345.10934912,1530.48262434,3058.94691263,Cover Crop,,
Headwaters Pipe Creek,051201011501,0,0,0,0,0,0,0,N/a,,
Stony Creek-Pipe Creek,051201011502,0,0,0,0,0,0,0,N/a,,
Turkey Creek-Little Pipe Creek,051201011503,27,48,724.8,741.9,2402.03931758,2888.99566574,5766.67954886,Conservation Cover,,
Honey Creek,051201011504,2,19,13.9,33.7120523416,645.580128847,788.866456999,1568.52446922,CREP CP 21 Filter Strips,,
Walnut Creek-Pipe Creek,051201011505,8,34,342.5,360.264104683,2549.25405217,2866.62722033,5719.9335406,Cover Crop,,
Negro Creek-Pipe Creek,051201011506,0,7,0,12.3,380,461,918,N/a,,
Bear Creek-Pipe Creek,051201011507,23,40,563.2,583.435583104,1820.05778817,2100.04214054,4159.59848629,"Residue and Tillage Management, No Till",,
Salem Ditch-Little Pipe Creek,051201011601,29,40,1182.2,1218.6,2931.208026,3609.17363352,7214.8993448,Cover Crop,,
Prairie Ditch-Wabash River,051201011602,3,23,81,156.348209366,1021.57441979,1111.81496333,2220.92293552,Cover Crop,,
Lowe Ditch-Wabash River,051201011603,34,55,824.1,838.5,2086.0226859,2419.36013855,4837.30867619,Cover Crop,,
McLaughlin Ditch-Salamonie River,051201020101,19,39,1225.17,1243.77,2913.95941794,3899.4065995,7793.07797171,Cover Crop,,
Little Salamonie River,051201020102,2,8,121.1,125.8,387.6760913,511.6384661,1021.7318108,Cover Crop,,
Berger Ditch-Salamonie River,051201020103,6,7,503.36,504.76,936.31,1306.407,2610.504,Cover Crop,,
Sipe Ditch,051201020104,0,1,0,2,367,367,733,N/a,,
Miller Ditch-Salamonie River,051201020105,1,12,30,44.7,1318.97928976,1368.33103862,2739.5423864,Cover Crop,,
Cowboy Run-Brooks Creek,051201020106,7,8,476.75,477.55,876.039,1251.611,2501.867,Cover Crop,,
Mud Creek-Brooks Creek,051201020107,3,9,199.81,201.705959596,572.383,721.504,1441.043,Cover Crop,,
Glenn Miller Ditch-Salamonie River,051201020108,1,5,76.48,87.28,146.605,217.428,434.5,Cover Crop,,
Twomile Ditch-Salamonie River,051201020201,2,3,68,68.6,218.19470859,272.83941798,545.42589991,Conservation Cover,,
Beaver Creek-Salamonie River,051201020202,18,18,355.7,355.7,463.574690313,692.205472858,1382.78707504,Cover Crop,,
Stoney Creek-Salamonie River,051201020203,17,19,292.5,329.3,544.974153028,783.382356928,1566.58118921,Cover Crop,,
Scuffle Creek-Salamonie River,051201020301,16,36,982.23,995.264067952,1254.15215295,1683.04393147,3359.36463112,Cover Crop,,
Prairie Creek,051201020302,16,16,466.4,466.4,603.130545527,912.436763764,1822.65959335,Cover Crop,,
Shadle Drain-Salamonie River,051201020303,20,23,552.94,555.699687787,697.898483585,4645.4245125,18345.228863,Cover Crop,,
Baker Ditch-Black Creek,051201020304,6,18,475.24,486.44,714.530024939,966.049331746,1929.19275133,Cover Crop,,
Little Black Creek-Black Creek,051201020305,13,14,1268.61,1268.78993572,1101.85821733,1580.55427054,3157.30955781,Cover Crop,,
Morrison Ditch-Salamonie River,051201020306,4,12,191.73,205.128576676,558.160154035,646.429224033,1292.62828411,Cover Crop,,
Weasel Creek-Salamonie River,051201020401,11,32,81.21,95.3100688705,2396.62129154,3452.6395665,6896.9059982,Early Successional Habitat Development-Mgt,,
Richland Creek,051201020402,9,20,299.68,319.313884298,1149.4300652,1266.4838079,2532.03747542,Cover Crop,,
Majencia Creek,051201020403,22,38,1290.03,1330.12,1362.37542582,1937.05518902,3867.49262962,Cover Crop,,
Rush Creek,051201020404,2,22,1.8,22.7992653811,2005.9,2325.9,4654.8,Grassed Waterway,,
Salamonie Reservoir-Salamonie River,051201020405,3,5,84.39,84.8012488522,146.3,179.3,358.4,Cover Crop,,
Indian Creek-Salamonie River,051201020406,12,12,155.54,155.54,518.924924741,581.480834316,1162.52902868,Cover Crop,,
Little Mississinewa River,051201030101,4,4,125.5,125.5,208.201279372,260.852882836,521.357657472,Conservation Cover,,
Gray Branch-Mississinewa River,051201030102,1,4,123.1,125,250.3477277,305.5511991,611.7594565,"Residue and Tillage Management, No Till",,
Jordan Creek-Mississinewa River,051201030103,4,6,39.2,58,144.588801453,177.913804593,355.643435837,Conservation Cover,,
Porter Creek-Mississinewa River,051201030104,2,14,31,133.6,767.71290135,845.52709124,1692.96658562,Cover Crop,,
Mud Creek-Mississinewa River,051201030105,7,32,74.1,102.724104683,2466.65776006,2634.20334875,5276.15599886,Cover Crop,,
Days Creek,051201030201,43,49,1529.2,1539.2,2493.00666761,3660.2808019,7316.89488969,Cover Crop,,
Bear Creek,051201030202,0,8,0,11,224.334059962,237.096849526,476.175498165,N/a,,
Fetid Creek-Mississinewa River,051201030203,0,10,0,32.6241046832,414.988261082,458.89297963,926.762746034,N/a,,
Bush Creek,051201030204,1,1,80.2,80.2,96.36531991,128.5888312,256.9511454,Cover Crop,,
Redkey Run-Halfway Creek,051201030205,0,2,0,1,46.6957860472,54.3606983279,108.719086231,N/a,,
Platt Nibarger Ditch-Mississinewa River,051201030206,32,40,1040.3,1048.1,2054.66313607,2604.06657225,5217.07672013,Cover Crop,,
Little Lick Creek-Big Lick Creek,051201030301,29,54,1321.87,1617.26451298,2743.29650784,3780.40873568,7545.99327989,Cover Crop,,
Townsand Lucas Ditch-Big Lick Creek,051201030302,29,34,540.04,544.34,1286.38795124,1644.42368572,3286.26564506,Cover Crop,,
Campbell Creek,051201030401,11,18,529.4,533.232139578,708.225882236,922.134323921,1839.7685738,Cover Crop,,
Rees Ditch-Mississinewa River,051201030402,12,22,839.76,845.111652893,1828.45855915,2177.37487633,4351.56652533,Cover Crop,,
Studebaker Ditch-Pike Creek,051201030403,0,0,0,0,0,0,0,N/a,,
Holden Ditch-Mississinewa River,051201030404,4,5,136.8,141.8,187.445446232,266.65288582,532.747858694,Cover Crop,,
Hoppas Ditch-Mississinewa River,051201030501,0,0,0,0,0,0,0,N/a,,
Lake Branch-Mississinewa River,051201030502,0,0,0,0,0,0,0,N/a,,
Barren Creek,051201030503,0,5,0,20,57.6485602382,58.3257567057,116.546463568,N/a,,
Back Creek,051201030504,0,0,0,0,0,0,0,N/a,,
Little Walnut Creek-Walnut Creek,051201030505,0,1,0,25.8,42.7440754821,68.4617045751,136.666791163,N/a,,
Walnut Creek,051201030506,0,0,0,0,0,0,0,N/a,,
Little Deer Creek-Deer Creek,051201030507,0,0,0,0,0,0,0,N/a,,
Deer Creek,051201030508,0,0,0,0,0,0,0,N/a,,
Lugar Creek,051201030509,0,7,0,3.8,717.9,745.1,1489.1,N/a,,
Branch Creek-Mississinewa River,051201030510,0,2,0,2.60606060606,311.9,328.7,660.4,N/a,,
Boots Creek-Mississinewa River,051201030511,0,0,0,0,0,0,0,N/a,,
Hummel Creek-Mississinewa River,051201030601,0,3,0,5,7.83858240395,11.0660061987,22.1073559925,N/a,,
Metocinah Creek,051201030602,12,20,331.8,335.835629017,1074.3397871,1268.66685631,2535.14794836,Cover Crop,,
Grant Creek-Mississinewa River,051201030603,0,17,0,38.3,1074.04352352,1234.01667411,2462.98526041,N/a,,
Forked Branch-Mississinewa River,051201030604,0,4,0,4.03562901745,354.8,390.4,777.8,N/a,,
Mississinewa Lake-Mississinewa River,051201030605,0,3,0,2.5,162,162,323,N/a,,
Town of Peoria-Mississinewa River,051201030606,0,2,0,3.72,11,13,26,N/a,,
Headwaters Blue River,051201040101,15,55,319.7,446.3,1219.93009711,1425.16966095,2847.3881434,Cover Crop,,
Mud Run-Blue River,051201040102,22,39,394.4,464.924311295,1259.04118238,1439.53726441,2878.10024202,Cover Crop,,
Thorn Creek-Blue River,051201040103,47,52,908.4,959.834090909,2343.33021055,2726.33122487,5452.69119077,Cover Crop,,
Blue Babe Branch-Blue River,051201040104,14,25,356.5,383.209963269,1251.29822902,1654.87558402,3310.95926849,Cover Crop,,
Berward Ditch-Eel River,051201040201,2,19,92.8,191.8,232.036279051,332.57914741,663.883109775,Cover Crop,,
Johnson Drain-Eel River,051201040202,11,18,253.9,267.236730946,473.076418767,592.919298533,1185.11939646,Cover Crop,,
Krider Ditch-Eel River,051201040203,11,25,264.73,349.694830119,823.730126711,972.065051646,1942.18249189,Cover Crop,,
Solon Ditch-Eel river,051201040204,28,31,291.95,296.202089073,781.146902064,889.19116396,1776.68148297,Cover Crop,,
Emerick Branch-Gangwer Ditch,051201040205,1,21,9.2,36.2,346.883762378,367.290664651,733.175610117,Forage and Biomass Planting,,
Black Lake-Spring Creek,051201040301,88,102,1466.77,1484.47,4022.68471654,4590.91634622,9177.67115212,Cover Crop,,
Shoenauer Ditch-Spring Creek,051201040302,79,102,742.6,818.013774105,2325.17521806,2591.29345602,5181.24674363,Cover Crop,,
Headwaters Sugar Creek,051201040303,9,10,131.7,131.8,321.928659959,372.230355943,743.176391491,Cover Crop,,
County Farm Ditch-Eel River,051201040304,46,49,855.9,860.6,2289.6409725,2601.8910964,5202.09342236,Cover Crop,,
Mishler Ditch-Eel River,051201040401,22,39,427.9,476.956336088,1344.37280016,1476.82046873,2958.31077823,"Residue and Tillage Management, No Till",,
Hurricane Creek-Eel River,051201040402,13,16,423.8,424.6,1404.66656094,1574.08536907,3149.15944719,Cover Crop,,
Plunge Creek-Eel River,051201040403,10,15,350.5,397,933.129637266,976.585864162,1960.73950198,Cover Crop,,
Simonton Creek-Eel River,051201040404,1,14,12.9,25.1966023875,502.840983287,501.323205357,1000.77240795,Cover Crop,,
Pony Creek,051201040405,23,41,178.38,193.585693297,1484.20656002,1571.79836455,3143.3076123,Cover Crop,,
Nelson Creek-Clear Creek,051201040406,4,11,70,74.6,168.536001688,182.831139583,365.88988894,Forage and Biomass Planting,,
Swank Creek-Eel River,051201040407,0,1,0,3.6,8,12,24,N/a,,
Silver Creek,051201040501,15,30,351.6,443.1,972.587734197,1029.06295372,2060.47962267,"Residue and Tillage Management, No Till",,
Otter Creek-Eel River,051201040502,4,17,4.2,24.1,430.15705123,510.410727338,1019.77694465,Tree/Shrub Establishment,,
Beargrass Creek,051201040503,4,15,71.6,80.5565656566,755.063202458,782.714196924,1563.83557548,Cover Crop,,
Bolley Ditch,051201040504,5,12,200,219.3,598.814212671,683.136569557,1366.52132775,Cover Crop,,
Squirrel Creek,051201040505,7,30,233.3,314.4,1294.83082318,1442.45279806,2884.04536897,Cover Crop,,
Sharp Ditch-Paw Paw Creek,051201040506,6,25,5.94,57.1837098255,1229.7,1239.7,2480.1,Grassed Waterway,,
Bachelor Creek-Paw Paw Creek,051201040507,0,5,0,1.87821395776,352.7,358.7,717.6,N/a,,
Oren Ditch-Paw Paw Creek,051201040508,2,8,59.82,63.82,238.4,258.2,516.2,Cover Crop,,
Town of Roann-Eel River,051201040509,2,8,46,59.9217630854,196.639165408,222.873160504,447.553132345,Cover Crop,,
Flowers Creek-Eel River,051201040601,7,11,467.41,489.81,1060.5773574,1282.86222226,2564.50976113,Cover Crop,,
Little Weesau Creek-Weesau Creek,051201040602,17,32,443.07,476.97,1383.3275997,1596.08482928,3193.28852914,Cover Crop,,
Washonis Creek-Eel River,051201040603,32,69,942.85,1041.85,4332.17701205,4787.31992132,9528.07531643,Cover Crop,,
East Branch Twelvemile Creek,051201040701,4,24,190.73,214.93,563.010506776,664.7866245,1327.06946401,Cover Crop,,
West Branch Twelvemile Creek,051201040702,10,13,326,374.9,458.333444028,618.982099173,1237.85765682,Cover Crop,,
Twelvemile Creek,051201040703,2,3,157.3,162.8,314.717019044,389.033295925,777.585764647,Cover Crop,,
Town of Hoover-Eel River,051201040704,4,16,97,108.6,1283.80987488,1325.57396023,2647.75544947,Cover Crop,,
Mud Branch-Eel River,051201040705,16,21,668.5,684.7,822.804127192,1094.95617177,2187.96252534,Cover Crop,,
Headwaters Crooked Creek,051201050101,3,13,44.5,67.66,265.641684636,410.176491491,781.182693754,Forage and Biomass Planting,,
Miller Ditch-Crooked Creek,051201050102,5,11,217.7,231.2,528.148236637,751.247246435,1498.86688264,Cover Crop,,
Galbreath Ditch-Crooked Creek,051201050103,7,15,91.6,103,342.093295418,455.874403084,899.78834138,Cover Crop,,
Grants Run-Wabash River,051201050104,0,18,0,44.9,752.193110247,834.50101688,1667.12408375,N/a,,
Toney Ditch-Rock Creek,051201050201,3,6,56.79,59.79,252.210214504,412.497464141,787.837135358,"Residue and Tillage Management, No Till",,
Little Rock Creek,051201050202,12,12,466.9,466.9,699.92429526,891.49119886,1781.68951489,Cover Crop,,
Widow Creek-Rock Creek,051201050203,4,4,169,169,346.42612899,420.54643195,840.628143,"Residue and Tillage Management, No Till",,
Burnetts Creek,051201050204,10,13,436,449.6,367.147184957,489.22592111,980.811618791,Cover Crop,,
Ryan Appleton Ditch-Rock Creek,051201050205,18,24,92.5,117.83,580.942817012,806.328745096,1592.15621296,Early Successional Habitat Development-Mgt,,
Keeps Creek-Wabash River,051201050206,11,31,32.51,76.97,462.135985523,573.556767055,1136.24193905,Early Successional Habitat Development-Mgt,,
Headwaters Rattlesnake Creek,051201050301,10,14,499.9,511.089256198,1453.98096833,1779.4995952,3548.43142258,"Residue and Tillage Management, Reduced Till",,
Hickory Grove Church-Rattlesnake Creek,051201050302,1,6,20.1,31.551882461,438.694368183,612.620242627,1219.21073779,"Residue and Tillage Management, Reduced Till",,
Pleasant Run-Wabash River,051201050303,5,21,19.31,47.3965013774,315.114495022,385.561144114,768.002076571,Early Successional Habitat Development-Mgt,,
Copper Creek-Deer Creek,051201050401,2,10,1.8,8.98,316.486779227,437.063536005,872.225513576,CREP CP 21 Filter Strips,,
Wise Grinslade Ditch-Deer Creek,051201050402,4,25,127.6,157.813774105,1425.74177369,1804.55831877,3599.70413451,Cover Crop,,
 Matthew Anaker Ditch-South fork Deer Creek,051201050403,0,2,0,20.09,62,90,179,N/a,,
Manson Kingery Ditch-South Fork deer Creek,051201050404,0,5,0,5.58,110.1,116.1,231.1,N/a,,
Russell Ditch-Deer Creek,051201050405,0,9,0,7.8,420.461167401,421.901580154,843.892672033,N/a,,
Henry Gilbert Ditch-Little Deer Creek,051201050501,1,11,0.01,8.60049863746,334.815209353,379.924728477,748.656431186,Stream Crossing,,
McClosky Ditch,051201050502,4,6,82.7,84.2,218.285602694,310.89982821,604.55053947,Cover Crop,,
Little Deer Creek,051201050503,6,13,646.53,657.426418733,2691.66667782,3541.35015626,7074.87204748,Cover Crop,,
Paint Creek,051201050504,4,8,1464.12,1466.51641873,2714.65466996,3038.60137524,6227.37899426,Cover Crop,,
Headwaters Bachelor Run,051201050505,1,9,30,34.6034894399,374.508781233,385.620299607,769.160101986,Cover Crop,,
Kuns Ditch-Bachelor Run,051201050506,9,9,246.5,246.5,424.760221562,530.342935306,1058.96956426,Cover Crop,,
Monson Ditch-Deer Creek,051201050507,5,12,153.7,176.395050505,469.781454427,540.726585263,1080.17539383,Cover Crop,,
Robinson Branch-Deer Creek,051201050508,15,20,766.24,779.26,1172.62754877,1527.45054481,3056.62561782,Cover Crop,,
Little Sugar Creek-Sugar Creek,051201050601,4,8,260.59,261.89,447.245445488,557.102875608,1111.40333308,Cover Crop,,
