HUC Code,HUC Name,Installed BMPs,Active BMPs,Installed Acres,Active Acres,Sediment Reduction (tons),Phosphorus Reduction (lbs.),Nitrogen Reduction (lbs.),Most Frequent BMP,x,y
041000040605,Sly Run Creek,0,0,0,0,0,0,0,N/a,,
041000040606,Junk Ditch-St Marys River,0,0,0,0,0,0,0,N/a,,
041000050101,Trier Ditch,2,2,54.4,54.4,57.5143888667,78.8625169346,157.571019787,Cover Crop,,
041000050102,Bullerman Ditch-Maumee River,29,29,979.37,979.37,1057.7019764,1444.08101117,2885.38516745,Cover Crop,,
041000050103,Sixmile Creek-Maumee River,32,32,917.54,917.54,1003.94529362,1366.97762872,2731.35229477,Cover Crop,,
041000050104,Black Creek,9,10,610,610.1,984.033052394,1275.70021732,2615.60659441,"Residue and Tillage Management, No-Till",,
041000050105,Bottern Ditch-Maumee River,25,25,675.63,675.63,831.977371861,1105.24185624,2208.56308979,Cover Crop,,
041000050106,Marsh Ditch-Maumee River,3,3,191.6,191.6,192.928342669,267.178094517,533.815984877,Cover Crop,,
041000050201,Zuber Cutoff,0,0,0,0,0,0,0,N/a,,
041000050202,North Chaney Ditch-Maumee River,6,6,188.71,188.71,203.855072316,278.318340038,556.101542908,Cover Crop,,
041000050203,Marie DeLarme Creek,36,40,911.62,913.22,1418.94822443,1783.02870376,3563.55732021,Cover Crop,,
041000050204,Gordon Creek,0,0,0,0,0,0,0,N/a,,
041000071002,Upper Blue Creek,0,0,0,0,0,0,0,N/a,,
041000071201,Headwaters Flatrock Creek,6,13,132.4,147.7,149.529408956,213.985830929,427.486069511,Cover Crop,,
041000071202,Headwaters Hoffman Creek,3,5,135.4,137.9,152.450939458,206.755754387,413.120255901,Cover Crop,,
041000071203,Bohnke Ditch-Hoffman Creek,6,6,48.5,48.5,61.2531255719,81.0208420792,161.903763815,Cover Crop,,
041000071204,Brown Ditch-Flatrock Creek,6,6,247.9,247.9,335.709458593,438.521362947,876.330619491,Cover Crop,,
041000071205,Wildcat Creek-Flatrock Creek,0,0,0,0,0,0,0,N/a,,
050800011001,Dismal Creek,2,4,249.8,251.2,379.971202717,477.399188111,954.097833219,Cover Crop,,
050800011002,Kraut Creek,0,0,0,0,0,0,0,N/a,,
050800011004,Headwaters Greenville Creek,0,2,0,3.8,8.81710289658,11.4709491012,22.9229432464,N/a,,
050800030102,Jordan Creek-Martindale Creek,3,21,82.8,113.896212121,1208.92179532,1238.58004116,2476.92677687,Cover Crop,,
050800030104,Little Creek-Whitewater River,25,44,291.366253444,316.513062443,1484.38480249,1536.75508324,3073.29266682,Prescribed Grazing,,
050800030201,Little Mud Creek-Mud Creek,2,7,2.5080348944,7.2080348944,707,773,1547,Grassed Waterway,,
050800030202,Copy Run-Greens Fork,13,31,46.0522268136,61.5676997245,1901.30173245,1859.81555713,3727.66946817,Heavy Use Area Protection,,
051201010102,Stoney Creek-Wabash River,6,10,179.7,190.3,378.417399738,534.607589423,1069.24616801,Cover Crop,,
051201010103,Toti Creek-Wabash River,0,0,0,0,0,0,0,N/a,,
051201010401,Wilson Creek-Limberlost Creek,0,2,0,2.1,9,11,23,N/a,,
051201010402,Shirk Votaw Ditch-Camp Run,0,0,0,0,0,0,0,N/a,,
051201010403,Bear Creek,4,9,114.03,118.459729109,722.709626061,909.534566269,1817.60527329,Cover Crop,,
051201010404,Oakley Ditch-Limberlost Creek,4,4,55.9,55.9,132.51334077,198.121458239,397.027135514,Filter Strip,,
051201010405,Votaw Ditch-Loblolly Creek,1,12,61.4,179.9,204.271362938,310.758562321,618.160112053,Cover Crop,,
051201010501,Hickory Branch-Wabash River,0,0,0,0,0,0,0,N/a,,
051201010502,Brewster Ditch-Wabash River,6,22,21.4,132.9,181.885936224,274.583700435,549.955128779,Conservation Cover,,
051201010601,Jamstutz Ditch-Wabash River,0,10,0,131.7,105.641546447,155.852312559,310.532473224,N/a,,
051201010602,Threemile Creek-Wabash River,0,2,0,1.7,63,63,125,N/a,,
051201010603,Kunkel Lake-Sixmile Creek,7,10,261.5,264,299.230648496,416.380840923,831.92077632,Cover Crop,,
051201010604,Miller Ditch-Sixmile Creek,4,22,42.7,389,337.759198071,493.335836292,985.189476113,Cover Crop,,
051201010701,Headwaters Rock Creek,0,13,0,5.1,90.0980748547,106.806225815,195.607242626,N/a,,
051201010702,Mossburg Ditch,1,1,40.69,40.69,56.4320287502,74.0899214688,148.057433657,"Residue and Tillage Management, No-Till",,
051201010703,Stites Ditch-Rock Creek,24,29,1342.97,1352.38606979,1840.97791653,2441.42855675,4880.73058628,"Residue and Tillage Management, No-Till",,
051201010704,Elkenberry Ditch-Rock Creek,0,4,0,19.3,27.8510677563,39.6800765223,79.277207429,N/a,,
051201010801,Johns Creek-Wabash River,5,21,130.63,260.03,447.397103235,586.79984025,1162.46455532,Cover Crop,,
051201010802,Dowty Ditch-Wabash River,12,18,124.6,131.7,265.46078738,332.030187041,664.597087974,Cover Crop,,
051201010803,Bender Ditch-Wabash River,3,7,185.4,200.3,244.870011833,344.409236724,688.061052506,Cover Crop,,
051201010804,Griffin Ditch-Wabash River,0,0,0,0,0,0,0,N/a,,
051201010901,Maple Creek-Eightmile Creek,2,4,40.1,43.4,57.1850516717,78.3536257469,156.576351821,Cover Crop,,
051201010902,Moser Lake-Eightmile Creek,0,4,0,3.1,6.49814275577,8.68883913584,17.3615602109,N/a,,
051201010903,Big Creek-Eightmile Creek,4,6,139.9,141.2,193.146230945,255.889399931,511.321507701,Cover Crop,,
051201010904,Pleasant Run Ditch-Eightmile Creek,0,2,0,3.54017447199,580,666,1332,N/a,,
051201011001,Seeger Ditch,12,14,165.3,178.1,222.484927163,299.01993013,597.494679179,Cover Crop,,
051201011002,Beal Taylor Ditch-Aboite Creek,4,11,134.3,143.216069789,510.267872366,565.146485345,1127.97704543,Cover Crop,,
051201011003,Robinson Creek,0,0,0,0,0,0,0,N/a,,
051201011004,Graham McCulloch Ditch #1-Little River,0,2,0,20,21.1836043257,27.1488791776,53.2852915531,N/a,,
051201011005,Little Indian Creek-Aboite Creek,6,6,110.4,110.4,277.869364424,319.56437108,638.897346575,Cover Crop,,
051201011006,Cow Creek-Little River,1,1,2.13,2.13,16,24,48,CREP CP 21 Filter Strips,,
051201011101,Flat Creek,2,6,3.77,13.67,120.449213238,146.714099981,286.373074708,CREP CP 23A Wetland Restoration - Non-floodplain,,
051201011102,Bull Creek-Little River,4,5,8.67,17.27,182.75654438,269.403143861,538.79579982,CREP CP 21 Filter Strips,,
051201011103,Mud Creek-Little River,10,14,64.31,64.7582093664,490.86780168,675.328108962,1290.69159001,CREP CP 21 Filter Strips,,
051201011104,Flint Creek-Little River,3,10,34.53,96.03,273.087903238,373.438585918,745.724255704,CREP CP 21 Filter Strips,,
051201011201,West Branch Clear Creek,3,3,10.83,10.83,184,277,551,CREP CP 21 Filter Strips,,
051201011202,Headwaters Clear Creek,9,34,221.020661157,286.486547291,951.754828102,1012.81412844,2028.08095755,Cover Crop,,
051201011301,Huntington Lake-Wabash River,0,0,0,0,0,0,0,N/a,,
051201011302,Silver Creek,4,15,50.5,91.7571166208,323.464792333,395.030491374,788.638606304,Prescribed Grazing,,
051201011303,Town of Andrews-Wabash River,2,9,2.15,23.25,35.1091201415,41.4103423951,82.802608047,CREP CP 21 Filter Strips,,
051201011304,Loon Creek,1,2,5.1,8.85344352617,9.29782216325,12.5914392248,25.1579665624,Field Border,,
051201011305,Hanging Rock-Wabash River,2,6,2.93,30.83,66.2993544098,91.9001342978,183.763701959,CREP CP 21 Filter Strips,,
051201011401,Enyeart Creek-Wabash River,4,16,37.9,60.7195592287,553.70870885,635.00192435,1268.68745197,Cover Crop,,
051201011402,Stone Creek-Treaty Creek,19,25,383.1,388.818089991,1329.07488509,1578.58587894,3298.42877417,Cover Crop,,
051201011403,Burr Creek-Wabash River,34,40,496.2,502.7,2871.90276565,3387.86262295,6730.20201597,Water and Sediment Control Basin,,
051201011404,Ridgeway Creek,11,14,192,200.453535354,782.012778184,913.076896572,1825.24830896,Cover Crop,,
051201011405,Kentner Creek,19,28,148.616069789,177.212488522,772.199940987,885.237439683,1749.97278702,Upland Wildlife Habitat Management,,
051201011406,Gilbert Branch-Wabash River,10,12,301.3,303.6,911.165151396,1044.95855076,2094.05638467,"Residue and Tillage Management, No-Till",,
051201011407,Daniel Creek-Wabash River,4,24,110.5,161.021763085,626.640412377,724.333960954,1448.16787814,Cover Crop,,
051201011501,Headwaters Pipe Creek,0,0,0,0,0,0,0,N/a,,
051201011502,Stony Creek-Pipe Creek,1,3,40,42.9,62.2293668591,83.4319511938,166.712438523,Cover Crop,,
051201011503,Turkey Creek-Little Pipe Creek,8,9,242.6,242.7,711.770494775,939.064605983,1873.41122481,CREP CP 21 Filter Strips,,
051201011504,Honey Creek,6,19,190,200.012052342,806.645466835,1025.39943756,2044.02115786,CREP CP 21 Filter Strips,,
051201011505,Walnut Creek-Pipe Creek,10,14,647.324104683,662.624104683,1743.07366788,2052.74895555,4101.45705929,Cover Crop,,
051201011506,Negro Creek-Pipe Creek,9,9,202.7,202.7,490.245969023,583.216682191,1164.84873102,Cover Crop,,
051201011507,Bear Creek-Pipe Creek,2,13,100,107.5,529.146326769,577.817963152,1154.12301253,Cover Crop,,
051201011601,Salem Ditch-Little Pipe Creek,12,13,295.5,296.3,746.532448299,880.998226915,1765.14271926,Cover Crop,,
051201011602,Prairie Ditch-Wabash River,8,13,272.1,298.5,711.439470686,871.430360425,1741.81361391,Forage and Biomass Planting,,
051201011603,Lowe Ditch-Wabash River,5,27,187.2,204.5,1326.78396291,1413.56820093,2826.46113903,Cover Crop,,
051201020101,McLaughlin Ditch-Salamonie River,18,20,444.9,446.5,955.889575047,1343.96861703,2684.18398472,Cover Crop,,
051201020102,Little Salamonie River,5,5,78.9,78.9,139.68207228,201.213043517,402.130763772,Cover Crop,,
051201020103,Berger Ditch-Salamonie River,9,9,535.9,535.9,832.222268746,1231.44699193,2460.43295637,Cover Crop,,
051201020104,Sipe Ditch,0,0,0,0,0,0,0,N/a,,
051201020105,Miller Ditch-Salamonie River,0,0,0,0,0,0,0,N/a,,
051201020106,Cowboy Run-Brooks Creek,7,7,125.3,125.3,218.447549301,315.564095032,630.646950515,Cover Crop,,
051201020107,Mud Creek-Brooks Creek,8,8,217.9,217.9,369.9343685,537.527395398,1074.17409078,Cover Crop,,
051201020108,Glenn Miller Ditch-Salamonie River,9,9,534.4,534.4,831.670294335,1230.15351486,2457.85831048,Cover Crop,,
051201020201,Twomile Ditch-Salamonie River,5,5,445,445,642.662496112,964.56118853,1926.92053258,Cover Crop,,
051201020202,Beaver Creek-Salamonie River,22,22,429,429,580.217798828,868.989662619,1736.04381533,Cover Crop,,
051201020203,Stoney Creek-Salamonie River,13,13,255.7,255.7,365.331968893,550.431932974,1099.55232306,Cover Crop,,
051201020301,Scuffle Creek-Salamonie River,3,11,46.2,54.4,221.45406053,247.44896126,489.739512172,Cover Crop,,
051201020302,Prairie Creek,0,1,0,11.4,17.6446368215,25.0828346691,50.1084385133,N/a,,
051201020303,Shadle Drain-Salamonie River,1,1,74.5,74.5,79.5594774868,111.874318598,223.509503198,Cover Crop,,
051201020304,Baker Ditch-Black Creek,0,1,0,0.9,28.9,33.3,66.6,N/a,,
051201020305,Little Black Creek-Black Creek,0,0,0,0,0,0,0,N/a,,
051201020306,Morrison Ditch-Salamonie River,9,14,312.87,327.67,442.238340525,575.222308491,1149.68570996,Cover Crop,,
051201020401,Weasel Creek-Salamonie River,1,16,1.4,10.7000688705,1774.28599149,2793.28043999,5578.42160931,Conservation Cover,,
051201020402,Richland Creek,0,11,0,19.6338842975,777.330065203,781.383807904,1562.63747542,N/a,,
051201020403,Majencia Creek,0,8,0,19.3,80.0721606254,93.9341625021,186.87003604,N/a,,
051201020404,Rush Creek,11,15,149.5,154.699265381,1316.04102641,1490.22286853,2981.04706952,Water and Sediment Control Basin,,
051201020405,Salamonie Reservoir-Salamonie River,0,2,0,0.411248852158,54.8,54.8,109.5,N/a,,
051201020406,Indian Creek-Salamonie River,2,2,2,2,90.5052887435,119.616898044,239.030965114,Cover Crop,,
051201030101,Little Mississinewa River,3,3,184,184,223.338207474,297.293231903,594.067612662,Cover Crop,,
051201030102,Gray Branch-Mississinewa River,0,0,0,0,0,0,0,N/a,,
051201030103,Jordan Creek-Mississinewa River,2,31,102.2,144.4,263.957981412,325.750570051,651.075854697,Cover Crop,,
051201030104,Porter Creek-Mississinewa River,2,15,34.7,44.6,75.4221035279,96.7224547209,193.299119053,Cover Crop,,
051201030105,Mud Creek-Mississinewa River,9,21,245.4,263.424104683,1140.25705378,1273.35351505,2555.99134457,Cover Crop,,
051201030201,Days Creek,8,8,423.5,423.5,671.059439318,988.966951209,1976.03694977,Cover Crop,,
051201030202,Bear Creek,0,6,0,9.4,86.9757463873,99.8524700562,201.685683089,N/a,,
051201030203,Fetid Creek-Mississinewa River,8,20,337.5,354.224104683,828.171405355,1005.1015135,2018.25223141,Cover Crop,,
051201030204,Bush Creek,0,5,0,10.2,23.4207756835,30.5332615316,61.0156263777,N/a,,
051201030205,Redkey Run-Halfway Creek,34,34,992.4,992.4,1624.47175814,2339.16856746,4674.44486215,Cover Crop,,
051201030206,Platt Nibarger Ditch-Mississinewa River,6,12,230.5,237.1,1029.29474711,1246.72975374,2503.64644567,Cover Crop,,
051201030301,Little Lick Creek-Big Lick Creek,3,6,8.44258494031,20.8425849403,47.7711599079,70.8067346446,141.426538054,Forage and Biomass Planting,,
051201030302,Townsand Lucas Ditch-Big Lick Creek,0,4,0,12.1,30.5284965589,43.634276664,87.1942219995,N/a,,
051201030401,Campbell Creek,0,5,0,1.93213957759,59.6557363037,59.122395733,115.249345238,N/a,,
051201030402,Rees Ditch-Mississinewa River,3,3,99.7,99.7,163.144285238,238.565110129,476.694833628,Cover Crop,,
051201030403,Studebaker Ditch-Pike Creek,0,0,0,0,0,0,0,N/a,,
051201030404,Holden Ditch-Mississinewa River,0,0,0,0,0,0,0,N/a,,
051201030501,Hoppas Ditch-Mississinewa River,0,0,0,0,0,0,0,N/a,,
051201030502,Lake Branch-Mississinewa River,0,0,0,0,0,0,0,N/a,,
051201030503,Barren Creek,0,0,0,0,0,0,0,N/a,,
051201030504,Back Creek,0,0,0,0,0,0,0,N/a,,
051201030505,Little Walnut Creek-Walnut Creek,0,0,0,0,0,0,0,N/a,,
051201030506,Walnut Creek,0,0,0,0,0,0,0,N/a,,
051201030507,Little Deer Creek-Deer Creek,0,0,0,0,0,0,0,N/a,,
051201030508,Deer Creek,0,0,0,0,0,0,0,N/a,,
051201030509,Lugar Creek,0,5,0,3.8,106.9,134.1,267.1,N/a,,
051201030510,Branch Creek-Mississinewa River,0,9,0,53.7060606061,377.718392215,425.324440557,853.407164012,N/a,,
051201030511,Boots Creek-Mississinewa River,0,0,0,0,0,0,0,N/a,,
051201030601,Hummel Creek-Mississinewa River,0,3,0,5,7.83858240395,11.0660061987,22.1073559925,N/a,,
051201030602,Metocinah Creek,0,6,0,3.33562901745,272.4,260.5,520.7,N/a,,
051201030603,Grant Creek-Mississinewa River,2,5,20,22.8,583.757715689,680.462648304,1356.81613391,Forage and Biomass Planting,,
051201030604,Forked Branch-Mississinewa River,0,3,0,1.83562901745,251.8,287.4,570.8,N/a,,
051201030605,Mississinewa Lake-Mississinewa River,1,4,45.4,63.2,242.796164541,274.597413943,547.991149636,"Residue and Tillage Management, No-Till",,
051201030606,Town of Peoria-Mississinewa River,0,3,0,13.5,43.3413468921,53.1502274394,106.234144801,N/a,,
051201040101,Headwaters Blue River,20,45,80.8,156.189876033,517.784508075,594.583554079,1188.76308724,Cover Crop,,
051201040102,Mud Run-Blue River,8,11,295.3,325.8,802.206354167,917.1850271,1834.66385238,Cover Crop,,
051201040103,Thorn Creek-Blue River,5,5,252,252,560.505869797,660.833067375,1321.07297826,Cover Crop,,
051201040104,Blue Babe Branch-Blue River,3,16,88.1,122.805371901,641.70075565,946.712017656,1895.19369637,Cover Crop,,
051201040201,Berward Ditch-Eel River,0,0,0,0,0,0,0,N/a,,
051201040202,Johnson Drain-Eel River,0,0,0,0,0,0,0,N/a,,
051201040203,Krider Ditch-Eel River,16,16,429.631680441,429.631680441,796.722257309,976.071534565,1950.86194685,Cover Crop,,
051201040204,Solon Ditch-Eel river,0,1,0,5.3,19.4132208704,23.0504575795,46.0775427313,N/a,,
051201040205,Emerick Branch-Gangwer Ditch,11,14,287.5,289,801.796083581,916.871272621,1832.84501299,Cover Crop,,
051201040301,Black Lake-Spring Creek,1,11,181,193.416391185,680.989683928,748.073540474,1496.88064426,"Residue and Tillage Management, No-Till",,
051201040302,Shoenauer Ditch-Spring Creek,4,18,122.3,195.178099174,408.136593097,442.622245031,883.816249894,Cover Crop,,
051201040303,Headwaters Sugar Creek,8,8,308.7,308.7,1025.24535461,1119.38964748,2238.36568495,Cover Crop,,
051201040304,County Farm Ditch-Eel River,14,15,304.4,309.5,752.447589097,872.637131593,1744.58966796,Cover Crop,,
051201040401,Mishler Ditch-Eel River,23,23,738.6,738.6,1244.97916371,1350.31734087,2710.71598755,Cover Crop,,
051201040402,Hurricane Creek-Eel River,8,8,176.1,176.1,420.323566847,488.52392729,976.657989824,Cover Crop,,
051201040403,Plunge Creek-Eel River,24,31,592.6,675.7,1167.53256576,1274.02490182,2559.68887406,Cover Crop,,
051201040404,Simonton Creek-Eel River,22,32,726.796602388,780.796602388,1558.28837789,1887.9960252,3772.92482305,"Residue and Tillage Management, No-Till",,
051201040405,Pony Creek,25,28,755.75,757.93328742,1596.88438413,1928.20440778,3854.41657465,"Residue and Tillage Management, No-Till",,
051201040406,Nelson Creek-Clear Creek,11,18,804.8,854,1435.53061276,1570.65229793,3152.13606849,Cover Crop,,
051201040407,Swank Creek-Eel River,5,6,539.9,543.5,883.23993675,972.124403375,1951.90782821,Cover Crop,,
051201040501,Silver Creek,105,119,3100.3,3193.2,5407.03643474,6272.36851687,12561.328771,Cover Crop,,
051201040502,Otter Creek-Eel River,22,23,1126.9,1127.2,1819.08063918,2286.12439697,4569.15159853,"Residue and Tillage Management, No-Till",,
051201040503,Beargrass Creek,61,68,2176.2,2182.25656566,4056.60046903,4952.65294262,9898.17271918,"Residue and Tillage Management, No-Till",,
051201040504,Bolley Ditch,25,34,422,466,1096.3760406,1285.01688801,2569.7273091,Cover Crop,,
051201040505,Squirrel Creek,12,25,471,532.9,1597.68082757,1860.17269964,3718.34013736,Cover Crop,,
051201040506,Sharp Ditch-Paw Paw Creek,6,12,680,691.729935721,1118.93412812,1394.43489098,2787.84477039,Cover Crop,,
051201040507,Bachelor Creek-Paw Paw Creek,5,10,357.8,361.278213958,929.954135296,1089.60345683,2178.29931232,Cover Crop,,
051201040508,Oren Ditch-Paw Paw Creek,3,11,333,362.5,534.666101531,676.467138463,1350.86709359,Cover Crop,,
051201040509,Town of Roann-Eel River,4,12,235.8,256.721763085,471.031345748,578.751540758,1158.81971103,Cover Crop,,
051201040601,Flowers Creek-Eel River,8,13,566.9,595.8,1140.34270395,1414.88176866,2827.98554637,Cover Crop,,
051201040602,Little Weesau Creek-Weesau Creek,54,56,1540.5,1559.2,3691.47867516,4401.60006123,8802.20997904,Cover Crop,,
051201040603,Washonis Creek-Eel River,53,62,1917.8,1994.8,4133.11235519,5078.44881943,10150.8014643,Cover Crop,,
051201040701,East Branch Twelvemile Creek,13,18,441.3,442.4,809.040498257,999.361138863,1997.53528372,Cover Crop,,
051201040702,West Branch Twelvemile Creek,6,12,273,367.2,469.17620288,646.478608669,1291.65244782,Cover Crop,,
051201040703,Twelvemile Creek,3,3,124.3,124.3,213.828398903,267.98700875,535.616442007,Cover Crop,,
051201040704,Town of Hoover-Eel River,4,11,234.6,267.8,581.296447095,714.055215956,1427.13880775,Cover Crop,,
051201040705,Mud Branch-Eel River,1,5,129.9,143.7,217.054004577,275.72973225,551.032015824,Cover Crop,,
051201050101,Headwaters Crooked Creek,0,0,0,0,0,0,0,N/a,,
051201050102,Miller Ditch-Crooked Creek,9,16,388.1,731.5,925.595276122,1287.79061464,2572.87890745,Cover Crop,,
051201050103,Galbreath Ditch-Crooked Creek,2,8,7.4,42.1,139.282706231,163.594887837,327.30609277,Conservation Cover,,
051201050104,Grants Run-Wabash River,8,30,312.8,329.6,963.383527239,1091.95876811,2183.11109782,Cover Crop,,
051201050201,Toney Ditch-Rock Creek,5,5,72.8,72.8,88.1767676961,118.074262836,235.936916685,Conservation Cover,,
051201050202,Little Rock Creek,16,18,692.3,693.2,803.039646622,1079.31117247,2156.66603057,Cover Crop,,
051201050203,Widow Creek-Rock Creek,0,2,0,1.6,3.74882017532,4.86792858308,9.7278782072,N/a,,
051201050204,Burnetts Creek,4,4,88.9,88.9,55.4808709542,72.1026029748,145.298180852,Cover Crop,,
051201050205,Ryan Appleton Ditch-Rock Creek,1,2,67.4,72,105.583617354,137.715034556,275.208054018,Cover Crop,,
051201050206,Keeps Creek-Wabash River,9,13,71.3,72.7,230.622565583,258.229717027,515.965448049,Grassed Waterway,,
051201050301,Headwaters Rattlesnake Creek,13,15,518.9,529.189256198,895.251126977,1172.02047335,2335.26528155,Cover Crop,,
051201050302,Hickory Grove Church-Rattlesnake Creek,0,2,0,0.751882460973,9.81520935252,7.92472847687,15.8564311856,N/a,,
051201050303,Pleasant Run-Wabash River,3,11,230,236.007713499,343.584815994,441.972190561,883.262564106,Cover Crop,,
051201050401,Copper Creek-Deer Creek,8,14,315,319.6,676.372266877,826.794800077,1652.73848027,Cover Crop,,
051201050402,Wise Grinslade Ditch-Deer Creek,7,10,324.5,326.4,739.887417789,890.895170464,1780.92050412,Cover Crop,,
051201050403, Matthew Anaker Ditch-South fork Deer Creek,0,2,0,0.6,1.73276069128,2.17813261522,4.35315975592,N/a,,
051201050404,Manson Kingery Ditch-South Fork deer Creek,3,8,126.9,128.8,267.076614192,327.690759889,654.84716444,Cover Crop,,
051201050405,Russell Ditch-Deer Creek,3,12,66.2,74,570.376956701,602.134007956,1204.16993616,Cover Crop,,
051201050501,Henry Gilbert Ditch-Little Deer Creek,5,39,41.2,208.112052342,373.348225858,504.619577455,1008.05636697,Cover Crop,,
051201050502,McClosky Ditch,8,9,416,416.1,524.249664741,697.234718179,1394.25465462,Cover Crop,,
051201050503,Little Deer Creek,9,12,448.4,452.796418733,651.264009512,849.009982274,1696.64695954,Cover Crop,,
051201050504,Paint Creek,1,2,0.0964187327824,0.196418732782,0,64,283,Access Road,,
051201050505,Headwaters Bachelor Run,14,16,593.08,593.48348944,863.253177995,1118.11365271,2234.46811518,Cover Crop,,
051201050506,Kuns Ditch-Bachelor Run,1,1,40,40,60.0590546055,77.3377725925,154.5583321,Cover Crop,,
051201050507,Monson Ditch-Deer Creek,3,14,103.39,111.39,322.742637367,364.082471672,728.073813065,CREP CP 31 Bottom Timber Establishment on Wetland,,
051201050508,Robinson Branch-Deer Creek,4,6,193.3,200.4,335.452504454,431.297986799,865.026094964,Cover Crop,,
051201050601,Little Sugar Creek-Sugar Creek,3,5,230.4,230.6,319.485464955,417.40683215,834.134175775,Cover Crop,,
051201050602,Bowen Ditch-Wabash River,6,7,35.5,35.6,69.74769637,489.972668864,3846.76634965,Conservation Cover,,
051201050603,Harrison Creek-Wabash River,2,2,78.84,78.84,92.2031491379,126.302387195,252.358175075,Cover Crop,,
051201060101,Cedar Lake Branch-Elder Ditch,3,10,198.7,203.583448118,3895.15124496,4484.52542756,8919.59634757,Cover Crop,,
051201060102,Ridinger Lake-Grassy Creek,10,13,760.7,800.9,1460.23274003,1707.43147222,3400.79682449,Cover Crop,,
051201060103,Smalley Lake-Tippecanoe River,22,34,486.626657484,520.486092746,1454.17319783,1760.83596593,3519.85936469,Cover Crop,,
051201060104,Big Barbee Lake-Grassy Creek,0,4,0,0.402272727273,31.2,30.2,60.6,N/a,,
