HUC Code,HUC Name,Inst_BMP,Active_BMP,Inst_Ac,Active_Ac,Sediment,Phosphorus,Nitrogen,Most Frequent BMP,x,y
051201020406,Indian Creek-Salamonie River,6,6,19,19,32,40,80,Cover Crop,,
051201030101,Little Mississinewa River,0,0,0,0,0,0,0,N/a,,
051201030102,Gray Branch-Mississinewa River,0,0,0,0,0,0,0,N/a,,
051201030103,Jordan Creek-Mississinewa River,21,21,19,19,10,11,23,Conservation Cover,,
051201030104,Porter Creek-Mississinewa River,13,13,9.,9.,25,32,64,Conservation Cover,,
051201030105,Mud Creek-Mississinewa River,4,4,6,6,58,58,11,Grassed Waterway,,
051201030201,Days Creek,0,0,0,0,0,0,0,N/a,,
051201030202,Bear Creek,2,2,3.,3.,13,15,32,Conservation Cover,,
051201030203,Fetid Creek-Mississinewa River,7,7,7.,7.,13,13,27,Conservation Cover,,
051201030204,Bush Creek,1,1,2.,2.,5.,7.,14,Conservation Cover,,
051201030205,Redkey Run-Halfway Creek,0,0,0,0,0,0,0,N/a,,
051201030206,Platt Nibarger Ditch-Mississinewa River,3,3,1.,1.,79,79,16,Grassed Waterway,,
051201030301,Little Lick Creek-Big Lick Creek,0,0,0,0,0,0,0,N/a,,
051201030302,Townsand Lucas Ditch-Big Lick Creek,7,7,24,24,51,73,14,Forage and Biomass Planting,,
051201030401,Campbell Creek,1,1,0.,0.,3,3,5,Grade Stabilization Structure,,
051201030402,Rees Ditch-Mississinewa River,0,0,0,0,0,0,0,N/a,,
051201030403,Studebaker Ditch-Pike Creek,0,0,0,0,0,0,0,N/a,,
051201030404,Holden Ditch-Mississinewa River,0,0,0,0,0,0,0,N/a,,
051201030501,Hoppas Ditch-Mississinewa River,0,0,0,0,0,0,0,N/a,,
051201030502,Lake Branch-Mississinewa River,0,0,0,0,0,0,0,N/a,,
051201030503,Barren Creek,0,0,0,0,0,0,0,N/a,,
051201030504,Back Creek,0,0,0,0,0,0,0,N/a,,
051201030505,Little Walnut Creek-Walnut Creek,0,0,0,0,0,0,0,N/a,,
051201030506,Walnut Creek,0,0,0,0,0,0,0,N/a,,
051201030507,Little Deer Creek-Deer Creek,0,0,0,0,0,0,0,N/a,,
051201030508,Deer Creek,0,0,0,0,0,0,0,N/a,,
051201030509,Lugar Creek,0,0,0,0,0,0,0,N/a,,
051201030510,Branch Creek-Mississinewa River,1,1,0.,0.,42,42,86,Grassed Waterway,,
051201030511,Boots Creek-Mississinewa River,0,0,0,0,0,0,0,N/a,,
051201030601,Hummel Creek-Mississinewa River,0,0,0,0,0,0,0,N/a,,
051201030602,Metocinah Creek,8,8,21,21,47,56,11,"Residue and Tillage Management, No-Till",,
051201030603,Grant Creek-Mississinewa River,13,13,14,14,34,40,80,"Residue and Tillage Management, No-Till",,
051201030604,Forked Branch-Mississinewa River,1,1,0.,0.,20,24,48,Grassed Waterway,,
051201030605,Mississinewa Lake-Mississinewa River,4,4,10,10,25,30,61,Conservation Cover,,
051201030606,Town of Peoria-Mississinewa River,4,4,28,28,78,95,19,Conservation Cover,,
051201040101,Headwaters Blue River,41,41,89,89,30,33,67,"Residue and Tillage Management, No-Till",,
051201040102,Mud Run-Blue River,13,13,35,35,11,12,24,Cover Crop,,
051201040103,Thorn Creek-Blue River,20,20,87,87,28,31,63,"Residue and Tillage Management, No-Till",,
051201040104,Blue Babe Branch-Blue River,13,13,34,34,43,70,14,Conservation Cover,,
051201040201,Berward Ditch-Eel River,1,1,15,15,24,31,63,"Residue and Tillage Management, No-Till",,
051201040202,Johnson Drain-Eel River,2,2,21,21,46,56,11,"Residue and Tillage Management, No-Till",,
051201040203,Krider Ditch-Eel River,58,58,10,10,27,31,63,Cover Crop,,
051201040204,Solon Ditch-Eel river,26,26,28,28,85,94,18,Cover Crop,,
051201040205,Emerick Branch-Gangwer Ditch,44,44,10,10,25,29,58,Cover Crop,,
051201040301,Black Lake-Spring Creek,6,6,12,12,29,33,67,Cover Crop,,
051201040302,Shoenauer Ditch-Spring Creek,56,56,62,62,16,18,37,Cover Crop,,
051201040303,Headwaters Sugar Creek,1,1,2,2,6.,7.,14,Prescribed Grazing,,
051201040304,County Farm Ditch-Eel River,13,13,32,32,98,11,22,Cover Crop,,
051201040401,Mishler Ditch-Eel River,10,10,29,29,62,67,13,Cover Crop,,
051201040402,Hurricane Creek-Eel River,14,14,49,49,93,97,19,Cover Crop,,
051201040403,Plunge Creek-Eel River,80,80,15,15,33,34,69,"Residue and Tillage Management, Reduced Till",,
051201040404,Simonton Creek-Eel River,48,48,13,13,28,32,64,"Residue and Tillage Management, No-Till",,
051201040405,Pony Creek,19,19,59,59,11,13,27,Cover Crop,,
051201040406,Nelson Creek-Clear Creek,38,38,14,14,24,29,58,Cover Crop,,
051201040407,Swank Creek-Eel River,28,28,72,72,13,15,30,Cover Crop,,
051201040501,Silver Creek,90,90,29,29,48,56,11,Cover Crop,,
051201040502,Otter Creek-Eel River,44,44,12,12,24,29,59,"Residue and Tillage Management, No-Till",,
051201040503,Beargrass Creek,86,86,30,30,54,67,13,Cover Crop,,
051201040504,Bolley Ditch,35,35,77,77,15,17,35,Cover Crop,,
051201040505,Squirrel Creek,28,28,84,84,17,21,43,Cover Crop,,
051201040506,Sharp Ditch-Paw Paw Creek,30,30,12,12,22,28,56,Cover Crop,,
051201040507,Bachelor Creek-Paw Paw Creek,23,23,53,53,11,13,27,"Residue and Tillage Management, No-Till",,
051201040508,Oren Ditch-Paw Paw Creek,22,22,81,81,17,20,41,"Residue and Tillage Management, No-Till",,
051201040509,Town of Roann-Eel River,46,46,16,16,30,37,74,Cover Crop,,
051201040601,Flowers Creek-Eel River,70,70,23,23,49,60,12,Cover Crop,,
051201040602,Little Weesau Creek-Weesau Creek,45,45,86,86,21,25,51,Cover Crop,,
051201040603,Washonis Creek-Eel River,62,62,18,18,39,47,95,Cover Crop,,
051201040701,East Branch Twelvemile Creek,10,10,24,24,52,63,12,Cover Crop,,
051201040702,West Branch Twelvemile Creek,8,8,32,32,39,54,10,Conservation Cover,,
051201040703,Twelvemile Creek,2,2,67,67,14,17,35,Cover Crop,,
051201040704,Town of Hoover-Eel River,19,19,33,33,70,86,17,Cover Crop,,
051201040705,Mud Branch-Eel River,7,7,73,73,16,19,38,Cover Crop,,
051201050101,Headwaters Crooked Creek,0,0,0,0,0,0,0,N/a,,
051201050102,Miller Ditch-Crooked Creek,10,10,50,50,63,90,18,Conservation Cover,,
051201050103,Galbreath Ditch-Crooked Creek,6,6,34,34,12,14,29,Grassed Waterway,,
051201050104,Grants Run-Wabash River,33,33,20,20,83,91,18,Cover Crop,,
051201050201,Toney Ditch-Rock Creek,26,26,11,11,13,17,35,Cover Crop,,
051201050202,Little Rock Creek,7,7,36,36,39,53,10,Cover Crop,,
051201050203,Widow Creek-Rock Creek,6,6,15,15,17,23,47,Cover Crop,,
051201050204,Burnetts Creek,0,0,0,0,0,0,0,N/a,,
051201050205,Ryan Appleton Ditch-Rock Creek,2,2,29,29,50,64,12,Cover Crop,,
051201050206,Keeps Creek-Wabash River,4,4,1.,1.,10,10,21,Grassed Waterway,,
051201050301,Headwaters Rattlesnake Creek,1,1,0.,0.,16,22,44,Access Road,,
051201050302,Hickory Grove Church-Rattlesnake Creek,2,2,0.,0.,9.,7.,15,Access Road,,
051201050303,Pleasant Run-Wabash River,0,0,0,0,0,0,0,N/a,,
051201050401,Copper Creek-Deer Creek,2,2,18,18,23,31,63,Cover Crop,,
051201050402,Wise Grinslade Ditch-Deer Creek,0,0,0,0,0,0,0,N/a,,
051201050403, Matthew Anaker Ditch-South fork Deer Creek,3,3,35,35,51,68,13,Conservation Cover,,
051201050404,Manson Kingery Ditch-South Fork deer Creek,5,5,1.,1.,95,96,19,Grassed Waterway,,
051201050405,Russell Ditch-Deer Creek,12,12,22,22,65,74,14,Grassed Waterway,,
051201050501,Henry Gilbert Ditch-Little Deer Creek,23,23,78,78,13,18,36,Conservation Cover,,
051201050502,McClosky Ditch,1,1,0.,0.,1,1,3,Grade Stabilization Structure,,
051201050503,Little Deer Creek,4,4,74,74,11,14,28,Critical Area Planting,,
051201050504,Paint Creek,0,0,0,0,0,0,0,N/a,,
051201050505,Headwaters Bachelor Run,4,4,21,21,30,40,80,Cover Crop,,
051201050506,Kuns Ditch-Bachelor Run,8,8,26,26,50,62,12,"Residue and Tillage Management, No-Till",,
051201050507,Monson Ditch-Deer Creek,20,20,43,43,11,13,26,"Residue and Tillage Management, No-Till",,
051201050508,Robinson Branch-Deer Creek,1,1,30,30,46,59,11,Cover Crop,,
051201050601,Little Sugar Creek-Sugar Creek,2,2,0.,0.,8,8,16,Grade Stabilization Structure,,
051201050602,Bowen Ditch-Wabash River,1,1,28,28,33,45,90,Cover Crop,,
051201050603,Harrison Creek-Wabash River,3,3,29,29,42,55,11,Cover Crop,,
051201060101,Cedar Lake Branch-Elder Ditch,5,5,10,10,16,15,31,Cover Crop,,
051201060102,Ridinger Lake-Grassy Creek,13,13,59,59,89,10,20,Cover Crop,,
051201060103,Smalley Lake-Tippecanoe River,10,10,92,92,23,24,49,Streambank and Shoreline Protection,,
051201060104,Big Barbee Lake-Grassy Creek,22,22,55,55,81,90,18,Cover Crop,,
051201060105,Tippecanoe Lake-Tippecanoe River,30,30,64,64,95,10,21,Cover Crop,,
051201060201,McCarter Ditch-Deeds Creek,32,32,72,72,13,14,29,Cover Crop,,
051201060202,Pike Lake-Deeds Creek,7,7,13,13,21,25,51,Cover Crop,,
051201060203,Winola Lake-Eagle Creek,84,84,16,16,29,31,62,Cover Crop,,
051201060204,Eagle Creek-Walnut Creek,25,25,10,10,15,17,34,Cover Crop,,
051201060205,Ruple Ditch-Tippecanoe River,8,8,12,12,18,20,41,Cover Crop,,
051201060301,Adams Ditch-Trimble Creek,8,8,46,46,66,74,14,Cover Crop,,
051201060302,Pole Run Ditch-Tippecanoe River,10,10,35,35,65,69,14,"Residue and Tillage Management, No-Till",,
051201060303,Palestine Lake-Trimble Creek,6,6,15,15,22,25,51,Cover Crop,,
051201060304,Ridenour Ditch-Danner Ditch,6,6,18,18,43,44,88,"Residue and Tillage Management, No-Till",,
051201060305,Danner Ditch-Tippecanoe River,15,15,50,50,10,11,22,"Residue and Tillage Management, Reduced Till",,
051201060401,Shatto Ditch-Tippecanoe River,17,17,84,84,11,12,25,Cover Crop,,
051201060402,Outlet Creek,1,1,15,15,15,15,30,Forage and Biomass Planting,,
051201060403,Rickle Ditch-Yellow Creek,11,11,32,32,54,58,11,Cover Crop,,
051201060404,Little Yellow Creek-Yellow Creek,4,4,84,84,13,16,32,Cover Crop,,
051201060405,Clarence Baker Ditch-Tippecanoe River,0,0,0,0,0,0,0,N/a,,
051201060406,Redinger Ditch-Tippecanoe River,3,3,19,19,17,21,43,Cover Crop,,
051201060407,Lake 16-Chippewanuck Creek,10,10,27,27,55,58,11,Cover Crop,,
051201060408,Byrant Leininger Ditch-Chippenwanuck Creek,20,20,60,60,11,11,23,Cover Crop,,
051201060409,Reister Creek-Tippecanoe River,5,5,24,24,29,33,66,Cover Crop,,
051201060501,Robbin Taylor Ditch,7,7,16,16,48,55,11,Cover Crop,,
051201060502,Lake Manitou- Mill Creek,7,7,34,34,42,47,96,Cover Crop,,
051201060503,Smith Ditch-Mud Creek,0,0,0,0,0,0,0,N/a,,
051201060504,Neff Ditch-Mud Creek,2,2,13,13,16,18,37,Cover Crop,,
051201060505,Grube Ditch-Mud Creek,0,0,0,0,0,0,0,N/a,,
051201060506,Collins Ditch,6,6,13,13,16,18,37,Conservation Cover,,
051201060507,Tilden Ditch-Mud Creek,3,3,35,35,39,45,90,Cover Crop,,
051201060508,Cowan Ditch-Eddy Creek,7,7,35,35,42,48,96,Cover Crop,,
051201060509,Zink Lake-Tippecanoe River,4,4,25,25,30,34,69,Cover Crop,,
051201060601,Lake Maxinkuckee,1,1,18,18,25,27,55,Cover Crop,,
051201060602,House Ditch,0,0,0,0,0,0,0,N/a,,
051201060603,Slonaker Ditch-Tippecanoe River,20,20,34,34,30,38,78,Conservation Cover,,
051201060604,Bartee Ditch-Tippecanoe River,9,9,15,15,73,11,22,Wetland Restoration,,
051201060605,Bruce Lake-Bruce Lake Outlet,15,15,31,31,35,55,11,Conservation Cover,,
051201060606,Dilts Anstis Ditch-Tippecanoe River,5,5,13,13,51,73,14,Cover Crop,,
051201060607,Quigley Marsh Ditch,4,4,55,55,21,30,62,Conservation Cover,,
051201060608,Tyler Weisjahn Ditch-Tippecane Ditch,5,5,30,30,10,15,30,Cover Crop,,
051201060701,Headwaters Mill Creek,1,1,93,93,10,12,24,Cover Crop,,
051201060702,Reed Olmstead Ditch-Mill Creek,3,3,15,15,19,21,43,Cover Crop,,
051201060703,Little Mill Creek,6,6,25,25,20,24,48,Cover Crop,,
051201060704,Wilson Ditch-Mill Creek,5,5,41,41,13,19,39,Cover Crop,,
051201060705,Prather Ditch-Mill Creek,6,6,52,52,16,24,49,Cover Crop,,
051201060801,Walsh Ditch-Grassy Creek,2,2,26,26,20,28,56,Cover Crop,,
051201060802,Headwaters Indian Creek,2,2,79,79,94,12,25,Cover Crop,,
051201060803,Fredericks Ditch-Little Indian Creek,1,1,98,98,10,14,28,Cover Crop,,
051201060804,Little Indian Creek,4,4,19,19,19,27,54,Conservation Cover,,
051201060805,Town of Thornhope-Indian Creek,10,10,59,59,19,28,58,Cover Crop,,
051201060901,Agnew Ditch,6,6,42,42,14,20,41,Cover Crop,,
051201060902,Mud Creek,10,10,26,26,95,13,27,Conservation Cover,,
051201060903,Budd Fisher Ditch-Tippecanoe River,11,11,56,56,19,28,57,Cover Crop,,
051201060904,Stout Ditch-Tippecanoe River,15,15,71,71,24,34,70,Cover Crop,,
051201061001,Scholtz Ditch,18,18,79,79,36,52,10,Conservation Cover,,
051201061002,Headwaters Big Monon Ditch,3,3,8.,8.,5.,7.,15,Conservation Cover,,
051201061003,Thompson Ditch-Big Monon Ditch,2,2,76,76,26,37,76,Cover Crop,,
051201061004,Lincoln Ditch-Big Monon Ditch,8,8,49,49,16,24,49,Cover Crop,,
051201061005,Antrim Ditch,6,6,17,17,66,94,19,Cover Crop,,
051201061006,Mosley Ditch,2,2,67,67,25,36,72,Cover Crop,,
051201061007,Stein Ditch-Big Monon Ditch,2,2,78,78,28,40,81,Cover Crop,,
051201061008,Big Monon Creek-Big Monon Ditch,1,1,78,78,26,38,76,Cover Crop,,
051201061101,Kesler Ditch-McKillip Ditch,3,3,24,24,13,17,35,Cover Crop,,
051201061102,Hill Ditch,3,3,16,16,56,81,16,Cover Crop,,
051201061103,McKillip Ditch,3,3,20,20,11,15,30,Cover Crop,,
051201061104,Brown Ditch-Big Monon Creek,5,5,34,34,18,25,50,Cover Crop,,
051201061201,Weltzin Ditch-Tippecanoe River,1,1,14,14,12,19,38,Wetland Restoration,,
051201061202,Harp Ditch-Tippecanoe River,0,0,0,0,0,0,0,N/a,,
051201061203,Hollingsworth Ditch-Hoagland Ditcj,6,6,23,23,12,16,33,Cover Crop,,
051201061204,Winters Ditch-Hoagland Ditch,6,6,34,34,18,24,50,Cover Crop,,
051201061205,Hoagland Bay-Hoagland Ditch,4,4,28,28,15,20,40,Cover Crop,,
051201061206,Keans Creek,0,0,0,0,0,0,0,N/a,,
051201061207,Headwaters Honey Creek,0,0,0,0,0,0,0,N/a,,
051201061208,Lake Shafer-Tippecanoe River,7,7,31,31,15,20,41,Cover Crop,,
051201061301,Pike Creek-Tippecanoe River,4,4,21,21,11,15,31,Cover Crop,,
